                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |    7335999 |    7737597 |    8378865 |    8396318 |    8391867 |    8503672
  Cycles                             |    4940800 |    4940800 |    4940800 |    4940800 |    4940800 |    4940800
  IPC                                |       1.48 |       1.57 |       1.70 |       1.70 |       1.70 |       1.72
  Time (ns)                          |    1235200 |    1235200 |    1235200 |    1235200 |    1235200 |    1235200
  Idle time (ns)                     |        338 |     226976 |     227353 |     227490 |     227586 |     227687
  Idle time (%)                      |       0.0% |      18.4% |      18.4% |      18.4% |      18.4% |      18.4%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |     516160 |     827985 |    1288949 |    1307245 |    1377301 |    1448091
  num incorrect                      |       8124 |       2644 |       2596 |       2165 |       2089 |       2092
  misprediction rate                 |      1.55% |      0.32% |      0.20% |      0.17% |      0.15% |      0.14%
  mpki                               |       1.11 |       0.34 |       0.31 |       0.26 |       0.25 |       0.25
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |     824952 |     697504 |     600662 |     596298 |     569044 |     556953
    num misses                       |        196 |         28 |         28 |         28 |         29 |         29
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    3816797 |    3592535 |    3374304 |    3360493 |    3266147 |    3242142
    num misses                       |       2191 |        703 |        660 |        614 |        548 |        375
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01%
    mpki                             |       0.30 |       0.09 |       0.08 |       0.07 |       0.07 |       0.04
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2387 |        731 |        688 |        642 |        577 |        404
    num misses                       |        591 |        173 |        184 |        175 |        161 |        143
    miss rate                        |     24.76% |     23.67% |     26.74% |     27.26% |     27.90% |     35.40%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |     824952 |     697504 |     600662 |     596298 |     569044 |     556953
    num cache misses                 |       6652 |        432 |        434 |        433 |        423 |        424
    miss rate                        |      0.81% |      0.06% |      0.07% |      0.07% |      0.07% |      0.08%
    mpki                             |       0.91 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    3816797 |    3592535 |    3374304 |    3360493 |    3266147 |    3242142
    num cache misses                 |     131425 |     111410 |      97987 |      97750 |      91281 |      88679
    miss rate                        |      3.44% |      3.10% |      2.90% |      2.91% |      2.79% |      2.74%
    mpki                             |      17.92 |      14.40 |      11.69 |      11.64 |      10.88 |      10.43
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     142702 |     114827 |     103791 |     102935 |      94732 |      91249
    num cache misses                 |      25055 |      15733 |      14809 |      15968 |      15782 |      13881
    miss rate                        |     17.56% |     13.70% |     14.27% |     15.51% |     16.66% |     15.21%
    mpki                             |       3.42 |       2.03 |       1.77 |       1.90 |       1.88 |       1.63
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      34937 |      22655 |      24255 |      25539 |      23989 |      20835
    num cache misses                 |      16700 |       4541 |       9911 |       9823 |       5146 |       6887
    miss rate                        |     47.80% |     20.04% |     40.86% |     38.46% |     21.45% |     33.05%
    mpki                             |       2.28 |       0.59 |       1.18 |       1.17 |       0.61 |       0.81
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      13833 |          0 |          0 |      13806 |          0 |          0
  average dram access latency (ns)   |     416.95 |        inf |        inf |     418.04 |        inf |        inf
  average dram queueing delay        |     355.70 |       0.00 |       0.00 |     356.79 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6904 |        182 |         69 |        110 |        123 |         55
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1747 |        977 |       6484 |       6087 |       2104 |       3731
