                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    9523157 |   10009640 |    9897678 |    9817713
  Cycles                             |    6002000 |    6002000 |    6002000 |    6002000
  IPC                                |       1.59 |       1.67 |       1.65 |       1.64
  Time (ns)                          |    1500500 |    1500500 |    1500500 |    1500500
  Idle time (ns)                     |        160 |     232865 |     233218 |     233354
  Idle time (%)                      |       0.0% |      15.5% |      15.5% |      15.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     651651 |    1026608 |     999207 |     973207
  num incorrect                      |       9015 |       3015 |       2926 |       3023
  misprediction rate                 |      1.36% |      0.29% |      0.29% |      0.31%
  mpki                               |       0.95 |       0.30 |       0.30 |       0.31
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1062295 |     923005 |     916498 |     916424
    num misses                       |        200 |         28 |         29 |         29
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4950005 |    4701594 |    4671969 |    4659191
    num misses                       |       2487 |       1045 |       1013 |        959
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.26 |       0.10 |       0.10 |       0.10
  L2 TLB                             |            |            |            |           
    num accesses                     |       2687 |       1073 |       1042 |        988
    num misses                       |        600 |        204 |        205 |        177
    miss rate                        |     22.33% |     19.01% |     19.67% |     17.91%
    mpki                             |       0.06 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1062295 |     923005 |     916498 |     916424
    num cache misses                 |       6654 |        440 |        471 |        428
    miss rate                        |      0.63% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.70 |       0.04 |       0.05 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4950005 |    4701594 |    4671969 |    4659191
    num cache misses                 |     168574 |     148225 |     146332 |     145632
    miss rate                        |      3.41% |      3.15% |      3.13% |      3.13%
    mpki                             |      17.70 |      14.81 |      14.78 |      14.83
  Cache L2                           |            |            |            |           
    num cache accesses               |     181434 |     152349 |     149552 |     146948
    num cache misses                 |      23349 |      15594 |      16690 |      15704
    miss rate                        |     12.87% |     10.24% |     11.16% |     10.69%
    mpki                             |       2.45 |       1.56 |       1.69 |       1.60
  Cache L3                           |            |            |            |           
    num cache accesses               |      34269 |      24151 |      23731 |      20435
    num cache misses                 |      14911 |       4522 |       4090 |       4111
    miss rate                        |     43.51% |     18.72% |     17.23% |     20.12%
    mpki                             |       1.57 |       0.45 |       0.41 |       0.42
DRAM summary                         |            |            |            |           
  num dram accesses                  |      27502 |          0 |          0 |          0
  average dram access latency (ns)   |     829.37 |        inf |        inf |        inf
  average dram queueing delay        |     768.12 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       6927 |        211 |        189 |        136
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
