                                     | Core 0     | Core 1    
  Instructions                       |   24860529 |    5987729
  Cycles                             |   20455600 |   20455600
  IPC                                |       1.22 |       0.29
  Time (ns)                          |    5113900 |    5113900
  Idle time (ns)                     |       1424 |    3410385
  Idle time (%)                      |       0.0% |      66.7%
Branch predictor stats               |            |           
  num correct                        |    3130665 |    1366614
  num incorrect                      |     198676 |      66906
  misprediction rate                 |      5.97% |      4.67%
  mpki                               |       7.99 |      11.17
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3661006 |     536153
    num misses                       |        172 |         28
    miss rate                        |      0.00% |      0.01%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6206800 |    1852436
    num misses                       |       5351 |       3769
    miss rate                        |      0.09% |      0.20%
    mpki                             |       0.22 |       0.63
  L2 TLB                             |            |           
    num accesses                     |       5523 |       3797
    num misses                       |        709 |        261
    miss rate                        |     12.84% |      6.87%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3661006 |     536153
    num cache misses                 |       2863 |        214
    miss rate                        |      0.08% |      0.04%
    mpki                             |       0.12 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |    6206800 |    1852436
    num cache misses                 |     100269 |      74821
    miss rate                        |      1.62% |      4.04%
    mpki                             |       4.03 |      12.50
  Cache L2                           |            |           
    num cache accesses               |     105273 |      75035
    num cache misses                 |      73146 |      56436
    miss rate                        |     69.48% |     75.21%
    mpki                             |       2.94 |       9.43
  Cache L3                           |            |           
    num cache accesses               |      75422 |      56487
    num cache misses                 |      22596 |       4029
    miss rate                        |     29.96% |      7.13%
    mpki                             |       0.91 |       0.67
DRAM summary                         |            |           
  num dram accesses                  |      26608 |          0
  average dram access latency (ns)   |      61.86 |        inf
  average dram queueing delay        |       0.61 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11902 |       1793
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
