                                     | Core 0     | Core 1    
  Instructions                       |  306676224 |  144763189
  Cycles                             |  271006740 |  271006740
  IPC                                |       1.13 |       0.53
  Time (ns)                          |   93450600 |   93450600
  Idle time (ns)                     |    8690639 |   60254719
  Idle time (%)                      |       9.3% |      64.5%
Branch predictor stats               |            |           
  num correct                        |   27937248 |   17393160
  num incorrect                      |       8795 |         77
  misprediction rate                 |      0.03% |      0.00%
  mpki                               |       0.03 |       0.00
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   37798790 |        236
    num misses                       |        117 |         16
    miss rate                        |      0.00% |      6.78%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   44553109 |   25474711
    num misses                       |   24751779 |    8303815
    miss rate                        |     55.56% |     32.60%
    mpki                             |      80.71 |      57.36
  L2 TLB                             |            |           
    num accesses                     |   24751896 |    8303831
    num misses                       |   23057571 |    7787796
    miss rate                        |     93.15% |     93.79%
    mpki                             |      75.19 |      53.80
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   37798790 |        236
    num cache misses                 |       3542 |         96
    miss rate                        |      0.01% |     40.68%
    mpki                             |       0.01 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |   44553109 |   25474711
    num cache misses                 |   25448403 |    8363231
    miss rate                        |     57.12% |     32.83%
    mpki                             |      82.98 |      57.77
  Cache L2                           |            |           
    num cache accesses               |   30558742 |   13715791
    num cache misses                 |   24224475 |    8019382
    miss rate                        |     79.27% |     58.47%
    mpki                             |      78.99 |      55.40
  Cache L3                           |            |           
    num cache accesses               |   29331276 |   13371846
    num cache misses                 |   15822076 |    5352685
    miss rate                        |     53.94% |     40.03%
    mpki                             |      51.59 |      36.98
DRAM summary                         |            |           
  num dram accesses                  |   11886822 |   11818410
  average dram access latency (ns)   |      61.54 |      61.54
  average dram queueing delay        |       0.29 |       0.29
  average dram bandwidth utilization |     15.00% |     15.00%
Coherency Traffic                    |            |           
  num loads from dram                |   13205677 |    3214454
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |    2089006 |    2138103
