                                     | Core 0     | Core 1    
  Instructions                       |  175209659 |  157604259
  Cycles                             |   88440800 |   88440800
  IPC                                |       1.98 |       1.78
  Time (ns)                          |   22110200 |   22110200
  Idle time (ns)                     |       8630 |     234641
  Idle time (%)                      |       0.0% |       1.1%
Branch predictor stats               |            |           
  num correct                        |   31467483 |   25803914
  num incorrect                      |     114164 |     106030
  misprediction rate                 |      0.36% |      0.41%
  mpki                               |       0.65 |       0.67
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    5512083 |    5423378
    num misses                       |        242 |         27
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   63016685 |   59746182
    num misses                       |      60820 |      59922
    miss rate                        |      0.10% |      0.10%
    mpki                             |       0.35 |       0.38
  L2 TLB                             |            |           
    num accesses                     |      61062 |      59949
    num misses                       |       1259 |        586
    miss rate                        |      2.06% |      0.98%
    mpki                             |       0.01 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    5512083 |    5423378
    num cache misses                 |      24550 |       7620
    miss rate                        |      0.45% |      0.14%
    mpki                             |       0.14 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |   63016685 |   59746182
    num cache misses                 |    4574328 |    4533635
    miss rate                        |      7.26% |      7.59%
    mpki                             |      26.11 |      28.77
  Cache L2                           |            |           
    num cache accesses               |    4638194 |    4576936
    num cache misses                 |     701659 |     972422
    miss rate                        |     15.13% |     21.25%
    mpki                             |       4.00 |       6.17
  Cache L3                           |            |           
    num cache accesses               |     742626 |    1009369
    num cache misses                 |      27810 |      17514
    miss rate                        |      3.74% |      1.74%
    mpki                             |       0.16 |       0.11
DRAM summary                         |            |           
  num dram accesses                  |      45305 |          0
  average dram access latency (ns)   |     894.72 |        inf
  average dram queueing delay        |     833.47 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11759 |       5436
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
