                                     | Core 0     | Core 1    
  Instructions                       |  283334430 |  284138433
  Cycles                             |  306750110 |  306750110
  IPC                                |       0.92 |       0.93
  Time (ns)                          |  105775900 |  105775900
  Idle time (ns)                     |        243 |     275599
  Idle time (%)                      |       0.0% |       0.3%
Branch predictor stats               |            |           
  num correct                        |   21519809 |   21722981
  num incorrect                      |      38505 |      29464
  misprediction rate                 |      0.18% |      0.14%
  mpki                               |       0.14 |       0.10
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   41085988 |   41325528
    num misses                       |        131 |         23
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  105058765 |  105431561
    num misses                       |    5153918 |    5129714
    miss rate                        |      4.91% |      4.87%
    mpki                             |      18.19 |      18.05
  L2 TLB                             |            |           
    num accesses                     |    5154049 |    5129737
    num misses                       |    2098733 |    2090491
    miss rate                        |     40.72% |     40.75%
    mpki                             |       7.41 |       7.36
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   41085988 |   41325528
    num cache misses                 |       4586 |       1388
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.02 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |  105058765 |  105431561
    num cache misses                 |    2939506 |    2940644
    miss rate                        |      2.80% |      2.79%
    mpki                             |      10.37 |      10.35
  Cache L2                           |            |           
    num cache accesses               |    3336297 |    3317698
    num cache misses                 |    1985716 |    1981087
    miss rate                        |     59.52% |     59.71%
    mpki                             |       7.01 |       6.97
  Cache L3                           |            |           
    num cache accesses               |    2377047 |    2354543
    num cache misses                 |     682694 |     677742
    miss rate                        |     28.72% |     28.78%
    mpki                             |       2.41 |       2.39
DRAM summary                         |            |           
  num dram accesses                  |      72507 |      72439
  average dram access latency (ns)   |      62.00 |      61.57
  average dram queueing delay        |       0.75 |       0.32
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6661 |        237
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |     576349 |     577641
