                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   11428133 |    3239701 |    3093293 |    3244871 |    2800615 |    3233435 |    3114939 |    3345191
  Cycles                             |    7575500 |    7575500 |    7575500 |    7575500 |    7575500 |    7575500 |    7575500 |    7575500
  IPC                                |       1.51 |       0.43 |       0.41 |       0.43 |       0.37 |       0.43 |       0.41 |       0.44
  Time (ns)                          |    7575500 |    7575500 |    7575500 |    7575500 |    7575500 |    7575500 |    7575500 |    7575500
  Idle time (ns)                     |       2121 |    6010433 |    6011397 |    6011704 |    6011900 |    6012191 |    6011817 |    6012907
  Idle time (%)                      |       0.0% |      79.3% |      79.4% |      79.4% |      79.4% |      79.4% |      79.4% |      79.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1351235 |    1013400 |     952234 |    1016001 |     825616 |    1009450 |     958289 |    1056417
  num incorrect                      |      79920 |       6399 |       8330 |       6253 |      13085 |       6647 |       8558 |       5078
  misprediction rate                 |      5.58% |      0.63% |      0.87% |      0.61% |      1.56% |      0.65% |      0.89% |      0.48%
  mpki                               |       6.99 |       1.98 |       2.69 |       1.93 |       4.67 |       2.06 |       2.75 |       1.52
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1269723 |      55238 |      68707 |      53351 |     103135 |      57319 |      69750 |      46159
    num misses                       |        175 |         25 |         25 |         25 |         24 |         25 |         25 |         25
    miss rate                        |      0.01% |      0.05% |      0.04% |      0.05% |      0.02% |      0.04% |      0.04% |      0.05%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2491470 |     632784 |     619024 |     633011 |     593746 |     633258 |     622232 |     643812
    num misses                       |       2521 |        134 |        157 |        143 |        138 |        140 |        131 |        117
    miss rate                        |      0.10% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.22 |       0.04 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.03
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       2696 |        159 |        182 |        168 |        162 |        165 |        156 |        142
    num misses                       |        599 |        128 |        140 |        129 |        128 |        129 |        127 |        125
    miss rate                        |     22.22% |     80.50% |     76.92% |     76.79% |     79.01% |     78.18% |     81.41% |     88.03%
    mpki                             |       0.05 |       0.04 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1269723 |      55238 |      68707 |      53351 |     103135 |      57319 |      69750 |      46159
    num cache misses                 |       3029 |        185 |        186 |        185 |        184 |        186 |        186 |        185
    miss rate                        |      0.24% |      0.33% |      0.27% |      0.35% |      0.18% |      0.32% |      0.27% |      0.40%
    mpki                             |       0.27 |       0.06 |       0.06 |       0.06 |       0.07 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2491470 |     632784 |     619024 |     633011 |     593746 |     633258 |     622232 |     643812
    num cache misses                 |      37412 |      13036 |      13180 |      12995 |      13439 |      13137 |      13159 |      12880
    miss rate                        |      1.50% |      2.06% |      2.13% |      2.05% |      2.26% |      2.07% |      2.11% |      2.00%
    mpki                             |       3.27 |       4.02 |       4.26 |       4.00 |       4.80 |       4.06 |       4.22 |       3.85
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      42627 |      13334 |      13519 |      13296 |      14118 |      13718 |      13767 |      13446
    num cache misses                 |      30445 |      12041 |      12127 |      12026 |      12343 |      12131 |      12179 |      11979
    miss rate                        |     71.42% |     90.30% |     89.70% |     90.45% |     87.43% |     88.43% |     88.47% |     89.09%
    mpki                             |       2.66 |       3.72 |       3.92 |       3.71 |       4.41 |       3.75 |       3.91 |       3.58
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      32985 |      12162 |      12282 |      12141 |      12838 |      12533 |      12601 |      12361
    num cache misses                 |      23701 |       6758 |       6678 |       6666 |       7486 |       7182 |       7387 |       7082
    miss rate                        |     71.85% |     55.57% |     54.37% |     54.90% |     58.31% |     57.30% |     58.62% |     57.29%
    mpki                             |       2.07 |       2.09 |       2.16 |       2.05 |       2.67 |       2.22 |       2.37 |       2.12
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      10658 |          0 |          0 |          0 |      10607 |          0 |          0 |          0
  average dram access latency (ns)   |      61.31 |        inf |        inf |        inf |      61.31 |        inf |        inf |        inf
  average dram queueing delay        |       0.06 |       0.00 |       0.00 |       0.00 |       0.06 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10284 |        148 |        146 |        142 |        111 |         98 |        119 |         91
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2008 |       1859 |       1889 |       1884 |       2519 |       2337 |       2401 |       2302
