                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   44253925 |   43870910 |   43841641 |   43768161 |   37835236 |   37800635 |   37697218 |   37695111 |   43525775 |   42877337 |   43040842 |   43241286 |   37406556 |   37303377 |   37257887 |   37183008
  Cycles                             |   51520240 |   51520240 |   51520240 |   51520240 |   39084320 |   39084320 |   39084320 |   39084320 |   51520240 |   51520240 |   51520240 |   51520240 |   39084320 |   39084320 |   39084320 |   39084320
  IPC                                |       0.86 |       0.85 |       0.85 |       0.85 |       0.97 |       0.97 |       0.96 |       0.96 |       0.84 |       0.83 |       0.84 |       0.84 |       0.96 |       0.95 |       0.95 |       0.95
  Time (ns)                          |   17765600 |   17765600 |   17765600 |   17765600 |   17765600 |   17765600 |   17765600 |   17765600 |   17765600 |   17765600 |   17765600 |   17765600 |   17765600 |   17765600 |   17765600 |   17765600
  Idle time (ns)                     |        395 |     317865 |     321984 |     324631 |     327239 |     329877 |     332485 |     335123 |     337731 |     340369 |     342977 |     345615 |     348222 |     350861 |     353468 |     356107
  Idle time (%)                      |       0.0% |       1.8% |       1.8% |       1.8% |       1.8% |       1.9% |       1.9% |       1.9% |       1.9% |       1.9% |       1.9% |       1.9% |       2.0% |       2.0% |       2.0% |       2.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4823896 |    4842263 |    4832357 |    4817983 |    3190589 |    3181222 |    3160214 |    3156029 |    4761097 |    4588132 |    4641490 |    4700882 |    3093839 |    3078281 |    3067323 |    3046360
  num incorrect                      |      12872 |       2763 |       2961 |       3041 |       2592 |       2726 |       2803 |       2888 |       3509 |       3693 |       4490 |       4796 |       4342 |       4505 |       4601 |       5149
  misprediction rate                 |      0.27% |      0.06% |      0.06% |      0.06% |      0.08% |      0.09% |      0.09% |      0.09% |      0.07% |      0.08% |      0.10% |      0.10% |      0.14% |      0.15% |      0.15% |      0.17%
  mpki                               |       0.29 |       0.06 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.08 |       0.08 |       0.09 |       0.10 |       0.11 |       0.12 |       0.12 |       0.12 |       0.14
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5266770 |    5160120 |    5186572 |    5188974 |    5054335 |    5071519 |    5072687 |    5099137 |    5265975 |    5245477 |    5251201 |    5260142 |    5152118 |    5137974 |    5152022 |    5184612
    num misses                       |        131 |         23 |         21 |         23 |         21 |         23 |         23 |         21 |         21 |         23 |         21 |         21 |         23 |         21 |         21 |         21
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15467325 |   15064337 |   15075155 |   15043107 |   13960083 |   13956483 |   13917530 |   13934171 |   14997810 |   14846221 |   14849075 |   14865246 |   13834833 |   13769905 |   13758547 |   13764891
    num misses                       |     644485 |     642900 |     642347 |     642419 |     642925 |     643110 |     642536 |     643167 |     641863 |     642111 |     643465 |     642623 |     642804 |     644592 |     640592 |     642593
    miss rate                        |      4.17% |      4.27% |      4.26% |      4.27% |      4.61% |      4.61% |      4.62% |      4.62% |      4.28% |      4.33% |      4.33% |      4.32% |      4.65% |      4.68% |      4.66% |      4.67%
    mpki                             |      14.56 |      14.65 |      14.65 |      14.68 |      16.99 |      17.01 |      17.04 |      17.06 |      14.75 |      14.98 |      14.95 |      14.86 |      17.18 |      17.28 |      17.19 |      17.28
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     644616 |     642923 |     642368 |     642442 |     642946 |     643133 |     642559 |     643188 |     641884 |     642134 |     643486 |     642644 |     642827 |     644613 |     640613 |     642614
    num misses                       |     263427 |     263222 |     260186 |     262673 |     263125 |     261603 |     264124 |     265289 |     263441 |     260990 |     263878 |     264067 |     265329 |     263822 |     260785 |     260506
    miss rate                        |     40.87% |     40.94% |     40.50% |     40.89% |     40.92% |     40.68% |     41.11% |     41.25% |     41.04% |     40.64% |     41.01% |     41.09% |     41.28% |     40.93% |     40.71% |     40.54%
    mpki                             |       5.95 |       6.00 |       5.93 |       6.00 |       6.95 |       6.92 |       7.01 |       7.04 |       6.05 |       6.09 |       6.13 |       6.11 |       7.09 |       7.07 |       7.00 |       7.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5266770 |    5160120 |    5186572 |    5188974 |    5054335 |    5071519 |    5072687 |    5099137 |    5265975 |    5245477 |    5251201 |    5260142 |    5152118 |    5137974 |    5152022 |    5184612
    num cache misses                 |       2427 |        179 |        230 |        222 |        768 |        778 |        776 |        781 |        214 |        238 |        253 |        173 |        767 |        765 |        759 |        893
    miss rate                        |      0.05% |      0.00% |      0.00% |      0.00% |      0.02% |      0.02% |      0.02% |      0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.02%
    mpki                             |       0.05 |       0.00 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.00 |       0.01 |       0.01 |       0.00 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15467325 |   15064337 |   15075155 |   15043107 |   13960083 |   13956483 |   13917530 |   13934171 |   14997810 |   14846221 |   14849075 |   14865246 |   13834833 |   13769905 |   13758547 |   13764891
    num cache misses                 |     420550 |     410082 |     412373 |     409634 |     521421 |     521788 |     525263 |     517087 |     406748 |     405320 |     404320 |     402305 |     520713 |     520830 |     513683 |     512182
    miss rate                        |      2.72% |      2.72% |      2.74% |      2.72% |      3.74% |      3.74% |      3.77% |      3.71% |      2.71% |      2.73% |      2.72% |      2.71% |      3.76% |      3.78% |      3.73% |      3.72%
    mpki                             |       9.50 |       9.35 |       9.41 |       9.36 |      13.78 |      13.80 |      13.93 |      13.72 |       9.34 |       9.45 |       9.39 |       9.30 |      13.92 |      13.96 |      13.79 |      13.77
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     493122 |     470548 |     478452 |     474756 |     582181 |     584189 |     587745 |     580746 |     473526 |     468773 |     468373 |     465808 |     584063 |     579464 |     573820 |     574448
    num cache misses                 |     173280 |     162528 |     164187 |     164095 |     242646 |     242173 |     242096 |     242282 |     163888 |     166219 |     164571 |     165843 |     242160 |     240932 |     241911 |     240013
    miss rate                        |     35.14% |     34.54% |     34.32% |     34.56% |     41.68% |     41.45% |     41.19% |     41.72% |     34.61% |     35.46% |     35.14% |     35.60% |     41.46% |     41.58% |     42.16% |     41.78%
    mpki                             |       3.92 |       3.70 |       3.75 |       3.75 |       6.41 |       6.41 |       6.42 |       6.43 |       3.77 |       3.88 |       3.82 |       3.84 |       6.47 |       6.46 |       6.49 |       6.45
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     274650 |     253024 |     259729 |     258756 |     302761 |     303798 |     303692 |     304846 |     260287 |     258738 |     257687 |     258346 |     304460 |     298541 |     300810 |     300999
    num cache misses                 |     100085 |      80626 |      84060 |      83462 |      78924 |      78358 |      79419 |      88981 |      89216 |      83623 |      82765 |      81773 |      79526 |      76459 |      77876 |      89000
    miss rate                        |     36.44% |     31.86% |     32.36% |     32.26% |     26.07% |     25.79% |     26.15% |     29.19% |     34.28% |     32.32% |     32.12% |     31.65% |     26.12% |     25.61% |     25.89% |     29.57%
    mpki                             |       2.26 |       1.84 |       1.92 |       1.91 |       2.09 |       2.07 |       2.11 |       2.36 |       2.05 |       1.95 |       1.92 |       1.89 |       2.13 |       2.05 |       2.09 |       2.39
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      73949 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      73833 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |    7641.56 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |    7654.05 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |    7580.31 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |    7592.80 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       6573 |         23 |         21 |         17 |         28 |         24 |         29 |         32 |         77 |         68 |         74 |         77 |         71 |         79 |         82 |         52
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      72913 |      67567 |      71287 |      70448 |      67051 |      65983 |      66361 |      69618 |      72637 |      71233 |      70592 |      69683 |      68063 |      64679 |      65351 |      69795
