                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   10963388 |    2945178 |    2988578 |    2760865 |    3159379 |    3012372 |    2599553 |    3047758 |    3220633 |    3158360 |    3338408 |    3321884
  Cycles                             |    7252500 |    7252500 |    7252500 |    7252500 |   29010000 |   29010000 |   29010000 |   29010000 |    7252500 |    7252500 |    7252500 |    7252500
  IPC                                |       1.51 |       0.41 |       0.41 |       0.38 |       0.11 |       0.10 |       0.09 |       0.11 |       0.44 |       0.44 |       0.46 |       0.46
  Time (ns)                          |    7252500 |    7252500 |    7252500 |    7252500 |    7252500 |    7252500 |    7252500 |    7252500 |    7252500 |    7252500 |    7252500 |    7252500
  Idle time (ns)                     |       1651 |    5832131 |    5832779 |    5833270 |    5863357 |    5863911 |    5864011 |    5864323 |    5834345 |    5834589 |    5834623 |    5835099
  Idle time (%)                      |       0.0% |      80.4% |      80.4% |      80.4% |      80.8% |      80.9% |      80.9% |      80.9% |      80.4% |      80.4% |      80.4% |      80.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1319216 |     932128 |     950223 |     854452 |    1016914 |     956206 |     782267 |     970633 |    1021940 |     994775 |    1071464 |    1063872
  num incorrect                      |      74525 |       4791 |       4257 |       7639 |       2642 |       4576 |      10512 |       4328 |       5295 |       6316 |       3552 |       3752
  misprediction rate                 |      5.35% |      0.51% |      0.45% |      0.89% |      0.26% |      0.48% |      1.33% |      0.44% |      0.52% |      0.63% |      0.33% |      0.35%
  mpki                               |       6.80 |       1.63 |       1.42 |       2.77 |       0.84 |       1.52 |       4.04 |       1.42 |       1.64 |       2.00 |       1.06 |       1.13
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1622389 |      20019 |      20399 |      24548 |      17609 |      19829 |      27868 |      18991 |      20675 |      22001 |      18450 |      19282
    num misses                       |        177 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         28 |         26
    miss rate                        |      0.01% |      0.13% |      0.13% |      0.11% |      0.15% |      0.13% |      0.09% |      0.14% |      0.13% |      0.12% |      0.15% |      0.13%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2665772 |     559151 |     564055 |     542488 |     584760 |     569653 |     530263 |     572621 |     607407 |     601825 |     618681 |     617081
    num misses                       |       1374 |        138 |        135 |        127 |        142 |        148 |        131 |        131 |        126 |        117 |        117 |        122
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.13 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
