                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   21478148 |    3761104 |    4061928 |    4044764 |    3662525 |    3968019 |    3935793 |    3732902 |    4413906 |    4326429 |    3799080 |    4412493
  Cycles                             |   58787600 |   58787600 |   58787600 |   58787600 |   14696900 |   14696900 |   14696900 |   14696900 |   58787600 |   58787600 |   58787600 |   58787600
  IPC                                |       0.37 |       0.06 |       0.07 |       0.07 |       0.25 |       0.27 |       0.27 |       0.25 |       0.08 |       0.07 |       0.06 |       0.08
  Time (ns)                          |   14696900 |   14696900 |   14696900 |   14696900 |   14696900 |   14696900 |   14696900 |   14696900 |   14696900 |   14696900 |   14696900 |   14696900
  Idle time (ns)                     |       1479 |   12646402 |   12647384 |   12647820 |   12617259 |   12617811 |   12618182 |   12618381 |   12648573 |   12649201 |   12649516 |   12649704
  Idle time (%)                      |       0.0% |      86.0% |      86.1% |      86.1% |      85.8% |      85.9% |      85.9% |      85.9% |      86.1% |      86.1% |      86.1% |      86.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2426783 |    1139966 |    1268536 |    1261428 |    1110015 |    1238939 |    1227963 |    1137026 |    1361068 |    1323449 |    1101533 |    1360653
  num incorrect                      |     160308 |      11093 |       6928 |       7248 |      11298 |       6749 |       7124 |      10203 |      10854 |      11875 |      19126 |      10578
  misprediction rate                 |      6.20% |      0.96% |      0.54% |      0.57% |      1.01% |      0.54% |      0.58% |      0.89% |      0.79% |      0.89% |      1.71% |      0.77%
  mpki                               |       7.46 |       2.95 |       1.71 |       1.79 |       3.08 |       1.70 |       1.81 |       2.73 |       2.46 |       2.74 |       5.03 |       2.40
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2504769 |      70050 |      50194 |      51956 |      68652 |      50395 |      49395 |      65750 |      67623 |      75097 |     113311 |      68996
    num misses                       |        201 |         46 |         29 |         29 |         31 |         29 |         29 |         46 |         46 |         46 |         48 |         46
    miss rate                        |      0.01% |      0.07% |      0.06% |      0.06% |      0.05% |      0.06% |      0.06% |      0.07% |      0.07% |      0.06% |      0.04% |      0.07%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5014254 |     772898 |     803806 |     801610 |     758285 |     785703 |     781623 |     764325 |     883073 |     872187 |     826371 |     879405
    num misses                       |       2541 |        670 |        632 |        669 |        610 |        612 |        633 |        696 |        634 |        617 |        613 |        595
    miss rate                        |      0.05% |      0.09% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.09% |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.12 |       0.18 |       0.16 |       0.17 |       0.17 |       0.15 |       0.16 |       0.19 |       0.14 |       0.14 |       0.16 |       0.13
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2742 |        716 |        661 |        698 |        641 |        641 |        662 |        742 |        680 |        663 |        661 |        641
    num misses                       |        701 |        221 |        191 |        186 |        182 |        186 |        184 |        204 |        201 |        199 |        208 |        202
    miss rate                        |     25.57% |     30.87% |     28.90% |     26.65% |     28.39% |     29.02% |     27.79% |     27.49% |     29.56% |     30.02% |     31.47% |     31.51%
    mpki                             |       0.03 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2504769 |      70050 |      50194 |      51956 |      68652 |      50395 |      49395 |      65750 |      67623 |      75097 |     113311 |      68996
    num cache misses                 |       2941 |        373 |        177 |        177 |        184 |        176 |        178 |        372 |        371 |        368 |        425 |        372
    miss rate                        |      0.12% |      0.53% |      0.35% |      0.34% |      0.27% |      0.35% |      0.36% |      0.57% |      0.55% |      0.49% |      0.38% |      0.54%
    mpki                             |       0.14 |       0.10 |       0.04 |       0.04 |       0.05 |       0.04 |       0.05 |       0.10 |       0.08 |       0.09 |       0.11 |       0.08
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5014254 |     772898 |     803806 |     801610 |     758285 |     785703 |     781623 |     764325 |     883073 |     872187 |     826371 |     879405
    num cache misses                 |      45866 |      18448 |      18127 |      18151 |      18386 |      18021 |      18091 |      18381 |      18085 |      18113 |      19304 |      18045
    miss rate                        |      0.91% |      2.39% |      2.26% |      2.26% |      2.42% |      2.29% |      2.31% |      2.40% |      2.05% |      2.08% |      2.34% |      2.05%
    mpki                             |       2.14 |       4.90 |       4.46 |       4.49 |       5.02 |       4.54 |       4.60 |       4.92 |       4.10 |       4.19 |       5.08 |       4.09
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      51074 |      18884 |      18361 |      18379 |      18636 |      18236 |      18318 |      18822 |      19106 |      19170 |      20410 |      19079
    num cache misses                 |      36089 |      17117 |      16675 |      16717 |      16900 |      16666 |      16715 |      17073 |      16786 |      16802 |      17146 |      16761
    miss rate                        |     70.66% |     90.64% |     90.82% |     90.96% |     90.68% |     91.39% |     91.25% |     90.71% |     87.86% |     87.65% |     84.01% |     87.85%
    mpki                             |       1.68 |       4.55 |       4.11 |       4.13 |       4.61 |       4.20 |       4.25 |       4.57 |       3.80 |       3.88 |       4.51 |       3.80
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      38915 |      17188 |      16745 |      16778 |      16975 |      16713 |      16777 |      17142 |      17436 |      17491 |      18002 |      17424
