                                     | Core 0     | Core 1    
  Instructions                       |   12419289 |    4008553
  Cycles                             |   10918400 |   10918400
  IPC                                |       1.14 |       0.37
  Time (ns)                          |    2729600 |    2729600
  Idle time (ns)                     |       1478 |    1796173
  Idle time (%)                      |       0.1% |      65.8%
Branch predictor stats               |            |           
  num correct                        |    1572313 |    1010447
  num incorrect                      |      97786 |      32362
  misprediction rate                 |      5.86% |      3.10%
  mpki                               |       7.87 |       8.07
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1412061 |     207989
    num misses                       |        180 |         46
    miss rate                        |      0.01% |      0.02%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    3231422 |    1105303
    num misses                       |       1660 |        218
    miss rate                        |      0.05% |      0.02%
    mpki                             |       0.13 |       0.05
  L2 TLB                             |            |           
    num accesses                     |       1840 |        264
    num misses                       |        595 |        188
    miss rate                        |     32.34% |     71.21%
    mpki                             |       0.05 |       0.05
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1412061 |     207989
    num cache misses                 |       2733 |        371
    miss rate                        |      0.19% |      0.18%
    mpki                             |       0.22 |       0.09
  Cache L1-D                         |            |           
    num cache accesses               |    3231422 |    1105303
    num cache misses                 |      58182 |      35689
    miss rate                        |      1.80% |      3.23%
    mpki                             |       4.68 |       8.90
  Cache L2                           |            |           
    num cache accesses               |      62945 |      36061
    num cache misses                 |      43819 |      28736
    miss rate                        |     69.61% |     79.69%
    mpki                             |       3.53 |       7.17
  Cache L3                           |            |           
    num cache accesses               |      45935 |      28752
    num cache misses                 |      18429 |       2282
    miss rate                        |     40.12% |      7.94%
    mpki                             |       1.48 |       0.57
DRAM summary                         |            |           
  num dram accesses                  |      20685 |          0
  average dram access latency (ns)   |      62.01 |        inf
  average dram queueing delay        |       0.76 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10979 |        976
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
