feature,importance
avg_ipc,0.04200734
ipc_cv,0.017281767
pe_ratio,0.0
local_ratio,0.0
remote_ratio,0.0
l2_intensity,0.017872887
l3_intensity,0.064651206
mem_intensity,0.073215626
read_ratio,0.26838562
cpi_l3_ratio,0.06600174
cpi_dram_local_ratio,0.019490749
cpi_dram_remote_ratio,0.0
cpi_branch_ratio,0.085601956
cpi_sync_ratio,0.0
uop_load_ratio,0.16350216
uop_store_ratio,0.0049097156
uop_fp_ratio,0.0065463525
dtlb_miss_rate,0.014301776
branch_mispredict_rate,0.047979575
avg_dram_latency,0.0
dram_queue_ratio,0.0
l1d_hit_ratio,0.044693943
futex_wake_per_minst,0.013879178
mem_bw_mbps,0.0
operational_intensity,0.0
itlb_miss_rate,0.022231258
stlb_miss_rate,0.0
load_l1_ratio,0.027447216
