                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   45158284 |    6631533 |    5549726 |    6195204 |    9108377 |    8981688
  Cycles                             |   30280400 |   30280400 |   30280400 |   30280400 |   30280400 |   30280400
  IPC                                |       1.49 |       0.22 |       0.18 |       0.20 |       0.30 |       0.30
  Time (ns)                          |   30280400 |   30280400 |   30280400 |   30280400 |   30280400 |   30280400
  Idle time (ns)                     |     167431 |   25337148 |   25205879 |   25205363 |   25357586 |   25446748
  Idle time (%)                      |       0.6% |      83.7% |      83.2% |      83.2% |      83.7% |      84.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5042096 |    1837373 |    1354835 |    1634049 |    2666696 |    2641114
  num incorrect                      |     345904 |      35795 |      57214 |      45936 |      35611 |      33393
  misprediction rate                 |      6.42% |      1.91% |      4.05% |      2.73% |      1.32% |      1.25%
  mpki                               |       7.66 |       5.40 |      10.31 |       7.41 |       3.91 |       3.72
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    7021223 |     309781 |     425187 |     365550 |     307792 |     291095
    num misses                       |        172 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   10440299 |    1637657 |    1552218 |    1608259 |    2050112 |    2014018
    num misses                       |      13800 |      11995 |      12162 |      12209 |      12022 |      12126
    miss rate                        |      0.13% |      0.73% |      0.78% |      0.76% |      0.59% |      0.60%
    mpki                             |       0.31 |       1.81 |       2.19 |       1.97 |       1.32 |       1.35
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      13972 |      12021 |      12188 |      12235 |      12048 |      12152
    num misses                       |        897 |        348 |        343 |        350 |        334 |        335
    miss rate                        |      6.42% |      2.89% |      2.81% |      2.86% |      2.77% |      2.76%
    mpki                             |       0.02 |       0.05 |       0.06 |       0.06 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    7021223 |     309781 |     425187 |     365550 |     307792 |     291095
    num cache misses                 |       3594 |        236 |        236 |        249 |        224 |        223
    miss rate                        |      0.05% |      0.08% |      0.06% |      0.07% |      0.07% |      0.08%
    mpki                             |       0.08 |       0.04 |       0.04 |       0.04 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   10440299 |    1637657 |    1552218 |    1608259 |    2050112 |    2014018
    num cache misses                 |      99423 |      66880 |      68256 |      67674 |      64689 |      64634
    miss rate                        |      0.95% |      4.08% |      4.40% |      4.21% |      3.16% |      3.21%
    mpki                             |       2.20 |      10.09 |      12.30 |      10.92 |       7.10 |       7.20
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     105393 |      67382 |      68822 |      68229 |      67283 |      67209
    num cache misses                 |      85860 |      58947 |      59584 |      59657 |      56181 |      56185
    miss rate                        |     81.47% |     87.48% |     86.58% |     87.44% |     83.50% |     83.60%
    mpki                             |       1.90 |       8.89 |      10.74 |       9.63 |       6.17 |       6.26
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      88517 |      59255 |      59963 |      60013 |      58589 |      58542
    num cache misses                 |      44408 |      21219 |      21483 |      21055 |      41636 |      41297
    miss rate                        |     50.17% |     35.81% |     35.83% |     35.08% |     71.06% |     70.54%
    mpki                             |       0.98 |       3.20 |       3.87 |       3.40 |       4.57 |       4.60
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      19733 |          0 |          0 |          0 |      19681 |          0
  average dram access latency (ns)   |      61.29 |        inf |        inf |        inf |      61.29 |        inf
  average dram queueing delay        |       0.04 |       0.00 |       0.00 |       0.00 |       0.04 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10934 |        866 |        850 |        849 |        438 |        431
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       6550 |       6442 |       6460 |       6362 |       9507 |       9554
