feature,importance
num_threads,0.078751
avg_ipc,0.06283799
ipc_cv,0.015743004
pe_ratio,0.04073167
local_ratio,0.108062305
remote_ratio,0.0
l2_intensity,0.20378743
l3_intensity,0.02856495
mem_intensity,0.015534215
read_ratio,0.06278434
cpi_l3_ratio,0.025391141
cpi_dram_local_ratio,0.009614816
cpi_dram_remote_ratio,0.0
cpi_branch_ratio,0.03142162
cpi_sync_ratio,0.019691829
uop_load_ratio,0.026191153
uop_store_ratio,0.036287643
uop_fp_ratio,0.019853545
dtlb_miss_rate,0.022176
branch_mispredict_rate,0.019631926
avg_dram_latency,0.027749455
dram_queue_ratio,0.0
l1d_hit_ratio,0.055915147
futex_wake_per_minst,0.020138714
mem_bw_mbps,0.022806607
operational_intensity,0.014952793
itlb_miss_rate,0.008566954
stlb_miss_rate,0.01093442
load_l1_ratio,0.01187923
