                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |      15.48 |       9.76 |       6.65 |       9.72 |       9.62 |       6.37 |       6.42 |       6.51 |       5.90 |       5.82 |       8.62 |       8.62 |       8.63 |       8.69 |       5.66 |       5.71
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      73868 |      40951 |      31760 |      39267 |      39072 |      31607 |      31384 |      31397 |      31509 |      30094 |      37342 |      37347 |      37221 |      37395 |      29403 |      27377
    num cache misses                 |      21159 |      12562 |      13978 |      13722 |      13813 |      13411 |      13604 |      14095 |      13123 |      12641 |      12240 |      12168 |      12175 |      12188 |      11788 |      12264
    miss rate                        |     28.64% |     30.68% |     44.01% |     34.95% |     35.35% |     42.43% |     43.35% |     44.89% |     41.65% |     42.01% |     32.78% |     32.58% |     32.71% |     32.59% |     40.09% |     44.80%
    mpki                             |       5.59 |       3.33 |       3.35 |       3.69 |       3.70 |       3.16 |       3.24 |       3.39 |       2.91 |       2.84 |       3.09 |       3.07 |       3.09 |       3.10 |       2.64 |       2.82
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      37124 |      19647 |      19712 |      19640 |      19524 |      19698 |      19554 |      20293 |      19683 |      18348 |      17943 |      17852 |      17872 |      17874 |      17658 |      16975
    num cache misses                 |      14687 |       2513 |       1975 |       1808 |       2322 |       2814 |       2688 |       5693 |       8531 |       4124 |       3369 |       3159 |       3060 |       3150 |       3416 |       4800
    miss rate                        |     39.56% |     12.79% |     10.02% |      9.21% |     11.89% |     14.29% |     13.75% |     28.05% |     43.34% |     22.48% |     18.78% |     17.70% |     17.12% |     17.62% |     19.35% |     28.28%
    mpki                             |       3.88 |       0.67 |       0.47 |       0.49 |       0.62 |       0.66 |       0.64 |       1.37 |       1.89 |       0.93 |       0.85 |       0.80 |       0.78 |       0.80 |       0.77 |       1.10
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      13929 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      13794 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     364.01 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     367.43 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     302.76 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |     306.18 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       5320 |        107 |        101 |        100 |         82 |         90 |         86 |         80 |         58 |         82 |         75 |         74 |         76 |         75 |         79 |         55
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1370 |        562 |        461 |        457 |        930 |       1360 |       1204 |       3887 |       6604 |       2584 |       2069 |       1902 |       1838 |       1910 |       2093 |       3352
