                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   11292663 |    3196337 |    3501352 |    2889745 |    3386445 |    3678182
  Cycles                             |    9343200 |    9343200 |    9343200 |    9343200 |    9343200 |    9343200
  IPC                                |       1.21 |       0.34 |       0.37 |       0.31 |       0.36 |       0.39
  Time (ns)                          |    2335800 |    2335800 |    2335800 |    2335800 |    2335800 |    2335800
  Idle time (ns)                     |       1563 |    1797834 |    1798186 |    1798312 |    1798293 |    1798396
  Idle time (%)                      |       0.1% |      77.0% |      77.0% |      77.0% |      77.0% |      77.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1383834 |     953604 |    1081685 |     828389 |    1016967 |    1141264
  num incorrect                      |      80073 |      11353 |       6975 |      14844 |      11374 |       7071
  misprediction rate                 |      5.47% |      1.18% |      0.64% |      1.76% |      1.11% |      0.62%
  mpki                               |       7.09 |       3.55 |       1.99 |       5.14 |       3.36 |       1.92
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1296623 |      69220 |      50505 |      88155 |      70715 |      50478
    num misses                       |        172 |         29 |         29 |         46 |         28 |         28
    miss rate                        |      0.01% |      0.04% |      0.06% |      0.05% |      0.04% |      0.06%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    2779859 |     680840 |     710005 |     650414 |     711201 |     739767
    num misses                       |       2003 |        142 |        154 |        182 |        154 |        167
    miss rate                        |      0.07% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02%
    mpki                             |       0.18 |       0.04 |       0.04 |       0.06 |       0.05 |       0.05
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2175 |        171 |        183 |        228 |        182 |        195
    num misses                       |        596 |        136 |        139 |        164 |        139 |        140
    miss rate                        |     27.40% |     79.53% |     75.96% |     71.93% |     76.37% |     71.79%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.06 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1296623 |      69220 |      50505 |      88155 |      70715 |      50478
    num cache misses                 |       2638 |        179 |        179 |        361 |        176 |        175
    miss rate                        |      0.20% |      0.26% |      0.35% |      0.41% |      0.25% |      0.35%
    mpki                             |       0.23 |       0.06 |       0.05 |       0.12 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    2779859 |     680840 |     710005 |     650414 |     711201 |     739767
    num cache misses                 |      40635 |      16980 |      16776 |      17713 |      16727 |      16626
    miss rate                        |      1.46% |      2.49% |      2.36% |      2.72% |      2.35% |      2.25%
    mpki                             |       3.60 |       5.31 |       4.79 |       6.13 |       4.94 |       4.52
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      45584 |      17251 |      17029 |      18181 |      17548 |      17364
    num cache misses                 |      31930 |      15416 |      15371 |      15997 |      15212 |      15191
    miss rate                        |     70.05% |     89.36% |     90.26% |     87.99% |     86.69% |     87.49%
    mpki                             |       2.83 |       4.82 |       4.39 |       5.54 |       4.49 |       4.13
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      34477 |      15523 |      15453 |      16136 |      15857 |      15755
    num cache misses                 |      22631 |       6261 |       6259 |       6606 |      12202 |      12160
    miss rate                        |     65.64% |     40.33% |     40.50% |     40.94% |     76.95% |     77.18%
    mpki                             |       2.00 |       1.96 |       1.79 |       2.29 |       3.60 |       3.31
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      10602 |          0 |          0 |          0 |      10561 |          0
  average dram access latency (ns)   |      61.47 |        inf |        inf |        inf |      61.45 |        inf
  average dram queueing delay        |       0.22 |       0.00 |       0.00 |       0.00 |       0.20 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10484 |        211 |        234 |        317 |         72 |         82
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2280 |       2266 |       2188 |       2282 |       2500 |       2341
