                                     | Core 0     | Core 1    
  Instructions                       |   18485404 |   18282583
  Cycles                             |   20074800 |   20074800
  IPC                                |       0.92 |       0.91
  Time (ns)                          |    5018700 |    5018700
  Idle time (ns)                     |        165 |     186262
  Idle time (%)                      |       0.0% |       3.7%
Branch predictor stats               |            |           
  num correct                        |    1454397 |    1457555
  num incorrect                      |       7371 |       3740
  misprediction rate                 |      0.50% |      0.26%
  mpki                               |       0.40 |       0.20
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1217197 |    1148579
    num misses                       |        117 |         24
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6854201 |    6726311
    num misses                       |      28622 |      23597
    miss rate                        |      0.42% |      0.35%
    mpki                             |       1.55 |       1.29
  L2 TLB                             |            |           
    num accesses                     |      28739 |      23621
    num misses                       |        628 |        301
    miss rate                        |      2.19% |      1.27%
    mpki                             |       0.03 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1217197 |    1148579
    num cache misses                 |       2084 |        189
    miss rate                        |      0.17% |      0.02%
    mpki                             |       0.11 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |    6854201 |    6726311
    num cache misses                 |     267182 |     256594
    miss rate                        |      3.90% |      3.81%
    mpki                             |      14.45 |      14.03
  Cache L2                           |            |           
    num cache accesses               |     310659 |     296306
    num cache misses                 |      68030 |      58750
    miss rate                        |     21.90% |     19.83%
    mpki                             |       3.68 |       3.21
  Cache L3                           |            |           
    num cache accesses               |     120980 |     108448
    num cache misses                 |      67343 |      58615
    miss rate                        |     55.66% |     54.05%
    mpki                             |       3.64 |       3.21
DRAM summary                         |            |           
  num dram accesses                  |       8814 |       8792
  average dram access latency (ns)   |     122.17 |     122.44
  average dram queueing delay        |      60.92 |      61.19
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6265 |         10
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |      38047 |      37178
