                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9695846 |    4407445 |   84062897 |   84315369 |   84089125 |  171984001 |  102528550 |  104525601 |   90428510 |   96445978 |  361649599 |  377539574 |  351874120 |  354183920 |    4577109
  Cycles                             |  243893320 |  243893320 |  321495740 |  321495740 |  321495740 |  243893320 |  321495740 |  321495740 |  243893320 |  321495740 |  321495740 |  321495740 |  243893320 |  243893320 |  243893320
  IPC                                |       0.04 |       0.02 |       0.26 |       0.26 |       0.26 |       0.71 |       0.32 |       0.33 |       0.37 |       0.30 |       1.12 |       1.17 |       1.44 |       1.45 |       0.02
  Time (ns)                          |  110860600 |  110860600 |  110860600 |  110860600 |  110860600 |  110860600 |  110860600 |  110860600 |  110860600 |  110860600 |  110860600 |  110860600 |  110860600 |  110860600 |  110860600
  Idle time (ns)                     |  107117222 |  108513570 |   61416779 |   61035800 |   61175822 |   12349871 |   95392481 |   94806743 |   94364604 |   96026316 |    9884799 |    8870609 |    7373938 |    8780208 |  109179544
  Idle time (%)                      |      96.6% |      97.9% |      55.4% |      55.1% |      55.2% |      11.1% |      86.0% |      85.5% |      85.1% |      86.6% |       8.9% |       8.0% |       6.7% |       7.9% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279232 |     175371 |    4224510 |    4237445 |    4226651 |    8657902 |     153198 |     157357 |     143875 |     150972 |   43412381 |   44981586 |   42207502 |   42152568 |     469109
  num incorrect                      |       7651 |        728 |        883 |        902 |        903 |       2055 |       2636 |       2779 |       2694 |       2784 |    2071840 |    2002471 |    2052463 |    1976006 |       8522
  misprediction rate                 |      0.59% |      0.41% |      0.02% |      0.02% |      0.02% |      0.02% |      1.69% |      1.74% |      1.84% |      1.81% |      4.56% |      4.26% |      4.64% |      4.48% |      1.78%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.73 |       5.30 |       5.83 |       5.58 |       1.86
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529816 |     429954 |    6347426 |    6367598 |    6352520 |   13010250 |    5764988 |    5879219 |    5096998 |    5432332 |   41298032 |   43018443 |   40120904 |   40417576 |     619928
    num misses                       |        113 |         35 |         32 |         32 |         35 |         34 |         39 |         38 |         38 |         39 |         46 |         46 |         46 |         47 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836182 |    3847914 |   56681745 |   56849208 |   56691906 |  115948403 |   23960318 |   24433169 |   21184050 |   22577773 |  174970468 |  186640787 |  169106136 |  172726433 |    2506158
    num misses                       |      13656 |       5332 |        592 |        595 |        590 |       1158 |       2190 |       2193 |       2099 |       2183 |      19261 |      21878 |      19370 |      21071 |       3599
    miss rate                        |      0.28% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.14%
    mpki                             |       1.41 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.05 |       0.06 |       0.06 |       0.06 |       0.79
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      13769 |       5367 |        624 |        627 |        625 |       1192 |       2229 |       2231 |       2137 |       2222 |      19307 |      21924 |      19416 |      21118 |       3640
    num misses                       |       5832 |       5324 |        622 |        624 |        620 |       1191 |       1817 |       1800 |       1703 |       1738 |       1815 |       2051 |       1780 |       1816 |       2272
    miss rate                        |     42.36% |     99.20% |     99.68% |     99.52% |     99.20% |     99.92% |     81.52% |     80.68% |     79.69% |     78.22% |      9.40% |      9.36% |      9.17% |      8.60% |     62.42%
    mpki                             |       0.60 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.50
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529816 |     429954 |    6347426 |    6367598 |    6352520 |   13010250 |    5764988 |    5879219 |    5096998 |    5432332 |   41298032 |   43018443 |   40120904 |   40417576 |     619928
    num cache misses                 |       2005 |        559 |        398 |        397 |        413 |       1077 |       1031 |       1226 |       1959 |       1231 |      17879 |      17273 |      21841 |      22804 |        515
    miss rate                        |      0.13% |      0.13% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.04% |      0.02% |      0.04% |      0.04% |      0.05% |      0.06% |      0.08%
    mpki                             |       0.21 |       0.13 |       0.00 |       0.00 |       0.00 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.05 |       0.05 |       0.06 |       0.06 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836182 |    3847914 |   56681745 |   56849208 |   56691906 |  115948403 |   23960318 |   24433169 |   21184050 |   22577773 |  174970468 |  186640787 |  169106136 |  172726433 |    2506158
    num cache misses                 |     173549 |     334393 |      36144 |      36384 |      36398 |      75007 |      49368 |      50266 |      44234 |      46803 |    2469974 |    2727050 |    3156155 |    3212833 |      26660
    miss rate                        |      3.59% |      8.69% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.41% |      1.46% |      1.87% |      1.86% |      1.06%
    mpki                             |      17.90 |      75.87 |       0.43 |       0.43 |       0.43 |       0.44 |       0.48 |       0.48 |       0.49 |       0.49 |       6.83 |       7.22 |       8.97 |       9.07 |       5.82
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     240846 |     377929 |      36872 |      37119 |      37168 |      76980 |      51181 |      53072 |      47735 |      49616 |    2489761 |    2746391 |    3179597 |    3237481 |      35544
    num cache misses                 |     162441 |     333609 |      36221 |      36445 |      36436 |      75044 |      49927 |      50884 |      45481 |      47404 |      96423 |     108939 |     107432 |     106722 |      18252
    miss rate                        |     67.45% |     88.27% |     98.23% |     98.18% |     98.03% |     97.49% |     97.55% |     95.88% |     95.28% |     95.54% |      3.87% |      3.97% |      3.38% |      3.30% |     51.35%
    mpki                             |      16.75 |      75.69 |       0.43 |       0.43 |       0.43 |       0.44 |       0.49 |       0.49 |       0.50 |       0.49 |       0.27 |       0.29 |       0.31 |       0.30 |       3.99
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     227737 |     376587 |      36551 |      36783 |      36793 |      75953 |      50709 |      52464 |      47025 |      48986 |      98397 |     111106 |     109073 |     108603 |      26621
    num cache misses                 |     156418 |     332922 |      30219 |      35007 |      35209 |      10746 |       3915 |      49700 |      43006 |      45732 |      58138 |      68883 |      63221 |      50370 |      16894
    miss rate                        |     68.68% |     88.41% |     82.68% |     95.17% |     95.69% |     14.15% |      7.72% |     94.73% |     91.45% |     93.36% |     59.09% |     62.00% |     57.96% |     46.38% |     63.46%
    mpki                             |      16.13 |      75.54 |       0.36 |       0.42 |       0.42 |       0.06 |       0.04 |       0.48 |       0.48 |       0.47 |       0.16 |       0.18 |       0.18 |       0.14 |       3.69
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     352217 |          0 |          0 |          0 |          0 |          0 |          0 |     352194 |          0 |          0 |          0 |          0 |          0 |          0 |     352219
  average dram access latency (ns)   |      61.26 |        inf |        inf |        inf |        inf |        inf |        inf |      61.26 |        inf |        inf |        inf |        inf |        inf |        inf |      61.26
  average dram queueing delay        |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      75656 |     208813 |      28436 |      33064 |      33073 |       6550 |       1889 |       1475 |       1428 |       1514 |        792 |        773 |        626 |        567 |       3261
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4013 |          1 |        434 |        466 |        483 |       1406 |        382 |      45404 |      39238 |      41799 |      12351 |      16654 |      16338 |       4363 |       9166
