feature,importance
num_threads,0.009677419354838701
bench_class_enc,0.0
avg_ipc,0.00645161290322579
ipc_cv,0.0
pe_ratio,-0.0064516129032258455
local_ratio,-0.02258064516129038
remote_ratio,-0.02258064516129038
l2_intensity,-0.016129032258064557
l3_intensity,-2.2204460492503132e-17
mem_intensity,-0.006451612903225823
read_ratio,-0.012903225806451646
cpi_l3_ratio,-0.0032258064516129115
cpi_dram_local_ratio,-0.006451612903225823
cpi_dram_remote_ratio,-0.006451612903225823
cpi_branch_ratio,-0.032258064516129094
cpi_sync_ratio,0.0
uop_load_ratio,0.0
uop_store_ratio,-0.006451612903225823
uop_fp_ratio,-0.0032258064516129115
dtlb_miss_rate,-0.0032258064516129115
branch_mispredict_rate,-0.016129032258064557
avg_dram_latency,0.022580645161290304
dram_queue_ratio,0.019354838709677403
l1d_hit_ratio,-0.0032258064516129115
futex_wake_per_minst,0.0354838709677419
mem_bw_mbps,-0.006451612903225823
operational_intensity,-0.0032258064516129115
itlb_miss_rate,0.0258064516129032
stlb_miss_rate,-0.009677419354838734
load_l1_ratio,-0.0032258064516129115
