                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   49839378 |   49172182 |   49037581 |   48934096 |   56842556 |   56796603 |   56817640 |   56768086 |   48913551 |   48774466 |   49150193 |   48637276
  Cycles                             |   51546440 |   51546440 |   51546440 |   51546440 |   67947580 |   67947580 |   67947580 |   67947580 |   51546440 |   51546440 |   51546440 |   51546440
  IPC                                |       0.97 |       0.95 |       0.95 |       0.95 |       0.84 |       0.84 |       0.84 |       0.84 |       0.95 |       0.95 |       0.95 |       0.94
  Time (ns)                          |   23430200 |   23430200 |   23430200 |   23430200 |   23430200 |   23430200 |   23430200 |   23430200 |   23430200 |   23430200 |   23430200 |   23430200
  Idle time (ns)                     |        168 |     354601 |     358755 |     361426 |     364073 |     366731 |     369376 |     372033 |     374664 |     377339 |     379961 |     382624
  Idle time (%)                      |       0.0% |       1.5% |       1.5% |       1.5% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4074907 |    4011279 |    3978861 |    3955934 |    6137451 |    6131560 |    6131913 |    6110828 |    3914262 |    3887759 |    3995356 |    3855096
  num incorrect                      |      13592 |       3355 |       3444 |       3523 |       4229 |       4490 |       5574 |       5877 |       5473 |       5668 |       5833 |       6357
  misprediction rate                 |      0.33% |      0.08% |      0.09% |      0.09% |      0.07% |      0.07% |      0.09% |      0.10% |      0.14% |      0.15% |      0.15% |      0.16%
  mpki                               |       0.27 |       0.07 |       0.07 |       0.07 |       0.07 |       0.08 |       0.10 |       0.10 |       0.11 |       0.12 |       0.12 |       0.13
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    6853698 |    6731813 |    6728659 |    6743058 |    6934877 |    6937874 |    6970633 |    7003260 |    6930819 |    6914521 |    6941173 |    6963400
    num misses                       |        131 |         23 |         23 |         23 |         21 |         23 |         21 |         23 |         21 |         21 |         23 |         23
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   18541303 |   18094461 |   18047024 |   18025936 |   19429770 |   19398597 |   19423953 |   19439927 |   18176242 |   18104179 |   18169704 |   18096654
    num misses                       |     861652 |     856317 |     855443 |     857367 |     856824 |     857913 |     856246 |     856773 |     855478 |     856559 |     857046 |     856010
    miss rate                        |      4.65% |      4.73% |      4.74% |      4.76% |      4.41% |      4.42% |      4.41% |      4.41% |      4.71% |      4.73% |      4.72% |      4.73%
    mpki                             |      17.29 |      17.41 |      17.44 |      17.52 |      15.07 |      15.11 |      15.07 |      15.09 |      17.49 |      17.56 |      17.44 |      17.60
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     861783 |     856340 |     855466 |     857390 |     856845 |     857936 |     856267 |     856796 |     855499 |     856580 |     857069 |     856033
    num misses                       |     352156 |     347654 |     348844 |     349851 |     351091 |     353241 |     350691 |     348670 |     351519 |     351853 |     348543 |     347462
    miss rate                        |     40.86% |     40.60% |     40.78% |     40.80% |     40.97% |     41.17% |     40.96% |     40.69% |     41.09% |     41.08% |     40.67% |     40.59%
    mpki                             |       7.07 |       7.07 |       7.11 |       7.15 |       6.18 |       6.22 |       6.17 |       6.14 |       7.19 |       7.21 |       7.09 |       7.14
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6853698 |    6731813 |    6728659 |    6743058 |    6934877 |    6937874 |    6970633 |    7003260 |    6930819 |    6914521 |    6941173 |    6963400
    num cache misses                 |       4184 |        859 |        858 |        876 |        420 |        304 |        368 |        354 |        857 |        849 |        851 |        951
    miss rate                        |      0.06% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   18541303 |   18094461 |   18047024 |   18025936 |   19429770 |   19398597 |   19423953 |   19439927 |   18176242 |   18104179 |   18169704 |   18096654
    num cache misses                 |     681723 |     678023 |     674355 |     674984 |     519177 |     520003 |     520915 |     515339 |     694512 |     694487 |     693089 |     689033
    miss rate                        |      3.68% |      3.75% |      3.74% |      3.74% |      2.67% |      2.68% |      2.68% |      2.65% |      3.82% |      3.84% |      3.81% |      3.81%
    mpki                             |      13.68 |      13.79 |      13.75 |      13.79 |       9.13 |       9.16 |       9.17 |       9.08 |      14.20 |      14.24 |      14.10 |      14.17
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     763620 |     747370 |     739572 |     742802 |     589544 |     588741 |     591091 |     585547 |     793205 |     789441 |     790317 |     788782
    num cache misses                 |     350273 |     338716 |     335976 |     336553 |     205023 |     204321 |     206039 |     202471 |     356762 |     354698 |     354140 |     356094
    miss rate                        |     45.87% |     45.32% |     45.43% |     45.31% |     34.78% |     34.70% |     34.86% |     34.58% |     44.98% |     44.93% |     44.81% |     45.14%
    mpki                             |       7.03 |       6.89 |       6.85 |       6.88 |       3.61 |       3.60 |       3.63 |       3.57 |       7.29 |       7.27 |       7.21 |       7.32
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     428394 |     406714 |     399830 |     402753 |     306301 |     304223 |     307096 |     303487 |     454630 |     447532 |     449307 |     453723
    num cache misses                 |      88321 |      76227 |      70593 |      74297 |      76304 |      74414 |      76991 |      83770 |     151765 |     142501 |     143721 |     157180
    miss rate                        |     20.62% |     18.74% |     17.66% |     18.45% |     24.91% |     24.46% |     25.07% |     27.60% |     33.38% |     31.84% |     31.99% |     34.64%
    mpki                             |       1.77 |       1.55 |       1.44 |       1.52 |       1.34 |       1.31 |       1.36 |       1.48 |       3.10 |       2.92 |       2.92 |       3.23
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      73541 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      73438 |          0 |          0 |          0
  average dram access latency (ns)   |    7065.21 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |    7076.54 |        inf |        inf |        inf
  average dram queueing delay        |    7003.96 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |    7015.29 |       0.00 |       0.00 |       0.00
