                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |    1167341 |    1727210 |     657424 |      25395 |      72000 |    1276982 |     959400 |    1517662 |     648154 |      22918 |      20457 |     663343 |    1435699 |     812484 |     476065 |    1442942
    miss rate                        |      1.63% |      2.26% |      0.64% |      0.21% |      0.11% |      1.58% |      1.19% |      1.65% |      0.62% |      0.21% |      0.22% |      0.71% |      1.83% |      1.76% |      0.53% |      1.82%
    mpki                             |       8.19 |      11.53 |       3.42 |       0.49 |       0.63 |       6.44 |       5.11 |       7.42 |       3.39 |       0.50 |       0.50 |       4.00 |       8.63 |       7.95 |       2.93 |       8.64
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1239449 |    1776447 |     665369 |      26992 |      78867 |    1294127 |     972309 |    1534172 |     657266 |      24661 |      21394 |     672904 |    1449348 |     820333 |     482997 |    1456901
    num cache misses                 |     213797 |     412488 |      76569 |      26333 |      58943 |      76224 |      52288 |      67463 |      74608 |      23118 |      20594 |      82254 |     104234 |      43433 |      69756 |     104029
    miss rate                        |     17.25% |     23.22% |     11.51% |     97.56% |     74.74% |      5.89% |      5.38% |      4.40% |     11.35% |     93.74% |     96.26% |     12.22% |      7.19% |      5.29% |     14.44% |      7.14%
    mpki                             |       1.50 |       2.75 |       0.40 |       0.51 |       0.52 |       0.38 |       0.28 |       0.33 |       0.39 |       0.51 |       0.51 |       0.50 |       0.63 |       0.42 |       0.43 |       0.62
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     278086 |     451435 |      78469 |      26770 |      64337 |      77499 |      53366 |      68654 |      76358 |      23700 |      20995 |      83914 |     105493 |      44159 |      71295 |     105820
    num cache misses                 |     202360 |     376723 |      65448 |       2242 |      12894 |      23168 |      30392 |      31716 |      62662 |       2678 |       2225 |      52267 |      34423 |      19147 |      51475 |      35734
    miss rate                        |     72.77% |     83.45% |     83.41% |      8.38% |     20.04% |     29.89% |     56.95% |     46.20% |     82.06% |     11.30% |     10.60% |     62.29% |     32.63% |     43.36% |     72.20% |     33.77%
    mpki                             |       1.42 |       2.51 |       0.34 |       0.04 |       0.11 |       0.12 |       0.16 |       0.16 |       0.33 |       0.06 |       0.05 |       0.32 |       0.21 |       0.19 |       0.32 |       0.21
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     633560 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     629719 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.41 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.47 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.22 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      78472 |     205367 |      35093 |       1177 |       5101 |       2006 |       1945 |       2430 |      35178 |       1041 |       1074 |      34626 |       1526 |        992 |      17038 |       2195
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      16110 |      12660 |       9675 |         82 |       4207 |        415 |       9178 |       7290 |      10941 |        480 |        139 |       1032 |        653 |       1596 |      19383 |       1848
