                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5     
  Instructions                       |   757468271 |   760028837 |   758102927 |   758822392 |   763297643 |   764014490
  Cycles                             |  1157353600 |  1157353600 |  1157353600 |  1157353600 |  1157353600 |  1157353600
  IPC                                |        0.65 |        0.66 |        0.66 |        0.66 |        0.66 |        0.66
  Time (ns)                          |   289338400 |   289338400 |   289338400 |   289338400 |   289338400 |   289338400
  Idle time (ns)                     |      282182 |     1502802 |     2093695 |     1498732 |     2982522 |     2681762
  Idle time (%)                      |        0.1% |        0.5% |        0.7% |        0.5% |        1.0% |        0.9%
Branch predictor stats               |             |             |             |             |             |            
  num correct                        |    58527515 |    59425638 |    58832683 |    59023236 |    60250764 |    60484552
  num incorrect                      |        6907 |        3058 |        2690 |        3028 |        3047 |        2758
  misprediction rate                 |       0.01% |       0.01% |       0.00% |       0.01% |       0.01% |       0.00%
  mpki                               |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |            
    num accesses                     |   109555011 |   109567403 |   109509917 |   109627490 |   110168233 |   110243152
    num misses                       |         118 |          24 |          24 |          24 |          24 |          24
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |            
    num accesses                     |   280251453 |   280612546 |   280176019 |   280408040 |   281921537 |   282066794
    num misses                       |    13789722 |    13739349 |    13747006 |    13755499 |    13736443 |    13728160
    miss rate                        |       4.92% |       4.90% |       4.91% |       4.91% |       4.87% |       4.87%
    mpki                             |       18.21 |       18.08 |       18.13 |       18.13 |       18.00 |       17.97
  L2 TLB                             |             |             |             |             |             |            
    num accesses                     |    13789840 |    13739373 |    13747030 |    13755523 |    13736467 |    13728184
    num misses                       |     6242195 |     6252496 |     6291486 |     6324489 |     6237984 |     6209119
    miss rate                        |      45.27% |      45.51% |      45.77% |      45.98% |      45.41% |      45.23%
    mpki                             |        8.24 |        8.23 |        8.30 |        8.33 |        8.17 |        8.13
Cache Summary                        |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |            
    num cache accesses               |   109555011 |   109567403 |   109509917 |   109627490 |   110168233 |   110243152
    num cache misses                 |        7743 |        3898 |        3849 |        3842 |        3845 |        3889
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
  Cache L1-D                         |             |             |             |             |             |            
    num cache accesses               |   280251453 |   280612546 |   280176019 |   280408040 |   281921537 |   282066794
    num cache misses                 |    15272378 |    15264426 |    15247915 |    15252094 |    15342750 |    15324220
    miss rate                        |       5.45% |       5.44% |       5.44% |       5.44% |       5.44% |       5.43%
    mpki                             |       20.16 |       20.08 |       20.11 |       20.10 |       20.10 |       20.06
  Cache L2                           |             |             |             |             |             |            
    num cache accesses               |    15446950 |    15442060 |    15419427 |    15426540 |    15575878 |    15553031
    num cache misses                 |     4561478 |     4563030 |     4546141 |     4556289 |     4615620 |     4619557
    miss rate                        |      29.53% |      29.55% |      29.48% |      29.54% |      29.63% |      29.70%
    mpki                             |        6.02 |        6.00 |        6.00 |        6.00 |        6.05 |        6.05
  Cache L3                           |             |             |             |             |             |            
    num cache accesses               |     4728278 |     4735830 |     4712987 |     4726002 |     4844742 |     4843477
    num cache misses                 |     4473775 |     4482350 |     4461071 |     4478692 |     4577837 |     4576995
    miss rate                        |      94.62% |      94.65% |      94.65% |      94.77% |      94.49% |      94.50%
    mpki                             |        5.91 |        5.90 |        5.88 |        5.90 |        6.00 |        5.99
DRAM summary                         |             |             |             |             |             |            
  num dram accesses                  |    16986100 |           0 |           0 |           0 |    16988730 |           0
  average dram access latency (ns)   |     4615.07 |         inf |         inf |         inf |     4583.74 |         inf
  average dram queueing delay        |     4553.81 |        0.00 |        0.00 |        0.00 |     4522.49 |        0.00
  average dram bandwidth utilization |       7.00% |       0.00% |       0.00% |       0.00% |       7.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |            
  num loads from dram                |     3060890 |     3054687 |     3052948 |     3053841 |     3064311 |     3063389
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      104954 |      122999 |      105360 |      116365 |      211067 |      208998
