                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   26314781 |    8076058 |    8200349 |    7375189
  Cycles                             |   19835200 |   19835200 |   19835200 |   19835200
  IPC                                |       1.33 |       0.41 |       0.41 |       0.37
  Time (ns)                          |    4958800 |    4958800 |    4958800 |    4958800
  Idle time (ns)                     |      34502 |    3538565 |    3508219 |    3470776
  Idle time (%)                      |       0.7% |      71.4% |      70.7% |      70.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    3289467 |    2332848 |    2349222 |    1921657
  num incorrect                      |     185754 |      25102 |      28144 |      45787
  misprediction rate                 |      5.35% |      1.06% |      1.18% |      2.33%
  mpki                               |       7.06 |       3.11 |       3.43 |       6.21
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    3257467 |     159395 |     168648 |     244468
    num misses                       |        171 |         26 |         24 |         24
    miss rate                        |      0.01% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    6219008 |    1765771 |    1798833 |    1745623
    num misses                       |       9860 |       7780 |       7950 |       7650
    miss rate                        |      0.16% |      0.44% |      0.44% |      0.44%
    mpki                             |       0.37 |       0.96 |       0.97 |       1.04
  L2 TLB                             |            |            |            |           
    num accesses                     |      10031 |       7806 |       7974 |       7674
    num misses                       |        858 |        321 |        333 |        330
    miss rate                        |      8.55% |      4.11% |      4.18% |      4.30%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    3257467 |     159395 |     168648 |     244468
    num cache misses                 |       3128 |        178 |        194 |        184
    miss rate                        |      0.10% |      0.11% |      0.12% |      0.08%
    mpki                             |       0.12 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    6219008 |    1765771 |    1798833 |    1745623
    num cache misses                 |      85576 |      50561 |      50937 |      53318
    miss rate                        |      1.38% |      2.86% |      2.83% |      3.05%
    mpki                             |       3.25 |       6.26 |       6.21 |       7.23
  Cache L2                           |            |            |            |           
    num cache accesses               |      90848 |      50744 |      51138 |      53504
    num cache misses                 |      64773 |      44027 |      44420 |      45233
    miss rate                        |     71.30% |     86.76% |     86.86% |     84.54%
    mpki                             |       2.46 |       5.45 |       5.42 |       6.13
  Cache L3                           |            |            |            |           
    num cache accesses               |      70120 |      44069 |      44473 |      45277
    num cache misses                 |      24559 |       3722 |       3698 |       3990
    miss rate                        |     35.02% |      8.45% |      8.32% |      8.81%
    mpki                             |       0.93 |       0.46 |       0.45 |       0.54
DRAM summary                         |            |            |            |           
  num dram accesses                  |      35863 |          0 |          0 |          0
  average dram access latency (ns)   |      79.80 |        inf |        inf |        inf
  average dram queueing delay        |      18.55 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      12102 |       1964 |       1854 |       1924
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
