                                     | Core 0     | Core 1    
  Instructions                       |   12552233 |    3945243
  Cycles                             |   11030000 |   11030000
  IPC                                |       1.14 |       0.36
  Time (ns)                          |    2757500 |    2757500
  Idle time (ns)                     |       1404 |    1831488
  Idle time (%)                      |       0.1% |      66.4%
Branch predictor stats               |            |           
  num correct                        |    1528565 |    1010917
  num incorrect                      |      99652 |      32357
  misprediction rate                 |      6.12% |      3.10%
  mpki                               |       7.94 |       8.20
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1442285 |     268768
    num misses                       |        176 |         27
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    2954091 |    1062739
    num misses                       |       1444 |        193
    miss rate                        |      0.05% |      0.02%
    mpki                             |       0.12 |       0.05
  L2 TLB                             |            |           
    num accesses                     |       1620 |        220
    num misses                       |        600 |        156
    miss rate                        |     37.04% |     70.91%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1442285 |     268768
    num cache misses                 |       2746 |        195
    miss rate                        |      0.19% |      0.07%
    mpki                             |       0.22 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    2954091 |    1062739
    num cache misses                 |      58333 |      35237
    miss rate                        |      1.97% |      3.32%
    mpki                             |       4.65 |       8.93
  Cache L2                           |            |           
    num cache accesses               |      63243 |      35432
    num cache misses                 |      44020 |      28516
    miss rate                        |     69.60% |     80.48%
    mpki                             |       3.51 |       7.23
  Cache L3                           |            |           
    num cache accesses               |      46266 |      28542
    num cache misses                 |      18463 |       2062
    miss rate                        |     39.91% |      7.22%
    mpki                             |       1.47 |       0.52
DRAM summary                         |            |           
  num dram accesses                  |      20513 |          0
  average dram access latency (ns)   |      62.05 |        inf
  average dram queueing delay        |       0.80 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11086 |        899
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
