                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11861440 |    3577317 |    3192410 |    3639110
  Cycles                             |   10048800 |   10048800 |   10048800 |   10048800
  IPC                                |       1.18 |       0.36 |       0.32 |       0.36
  Time (ns)                          |    2512200 |    2512200 |    2512200 |    2512200
  Idle time (ns)                     |       1454 |    1840848 |    1840905 |    1841325
  Idle time (%)                      |       0.1% |      73.3% |      73.3% |      73.3%
Branch predictor stats               |            |            |            |           
  num correct                        |    1434040 |    1050908 |     891972 |    1077975
  num incorrect                      |      86094 |      14189 |      19646 |      13433
  misprediction rate                 |      5.66% |      1.33% |      2.16% |      1.23%
  mpki                               |       7.26 |       3.97 |       6.15 |       3.69
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1310200 |     107295 |     138825 |     103019
    num misses                       |        171 |         26 |         27 |         26
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2652449 |     789611 |     751186 |     794578
    num misses                       |       1551 |        168 |        159 |        160
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.13 |       0.05 |       0.05 |       0.04
  L2 TLB                             |            |            |            |           
    num accesses                     |       1722 |        194 |        186 |        186
    num misses                       |        588 |        150 |        139 |        143
    miss rate                        |     34.15% |     77.32% |     74.73% |     76.88%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1310200 |     107295 |     138825 |     103019
    num cache misses                 |       2963 |        187 |        192 |        188
    miss rate                        |      0.23% |      0.17% |      0.14% |      0.18%
    mpki                             |       0.25 |       0.05 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2652449 |     789611 |     751186 |     794578
    num cache misses                 |      46428 |      22900 |      23075 |      22850
    miss rate                        |      1.75% |      2.90% |      3.07% |      2.88%
    mpki                             |       3.91 |       6.40 |       7.23 |       6.28
  Cache L2                           |            |            |            |           
    num cache accesses               |      51437 |      23092 |      23271 |      23044
    num cache misses                 |      36791 |      20517 |      20606 |      20492
    miss rate                        |     71.53% |     88.85% |     88.55% |     88.93%
    mpki                             |       3.10 |       5.74 |       6.45 |       5.63
  Cache L3                           |            |            |            |           
    num cache accesses               |      39008 |      20532 |      20615 |      20508
    num cache misses                 |      17546 |       1073 |       1140 |       1110
    miss rate                        |     44.98% |      5.23% |      5.53% |      5.41%
    mpki                             |       1.48 |       0.30 |       0.36 |       0.31
DRAM summary                         |            |            |            |           
  num dram accesses                  |      20795 |          0 |          0 |          0
  average dram access latency (ns)   |      62.23 |        inf |        inf |        inf
  average dram queueing delay        |       0.98 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10605 |        499 |        547 |        551
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
