                                     | Core 0      | Core 1     
  Instructions                       |  1119967008 |  1030471103
  Cycles                             |   723784000 |   723784000
  IPC                                |        1.55 |        1.42
  Time (ns)                          |   180946000 |   180946000
  Idle time (ns)                     |     1295844 |      237400
  Idle time (%)                      |        0.7% |        0.1%
Branch predictor stats               |             |            
  num correct                        |   203598596 |   173003723
  num incorrect                      |      646685 |      653265
  misprediction rate                 |       0.32% |       0.38%
  mpki                               |        0.58 |        0.63
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |    39296516 |    40084831
    num misses                       |         230 |          27
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |   401316144 |   387074662
    num misses                       |      392883 |      392540
    miss rate                        |       0.10% |       0.10%
    mpki                             |        0.35 |        0.38
  L2 TLB                             |             |            
    num accesses                     |      393113 |      392567
    num misses                       |      353843 |      353653
    miss rate                        |      90.01% |      90.09%
    mpki                             |        0.32 |        0.34
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |    39296516 |    40084831
    num cache misses                 |       32231 |       16377
    miss rate                        |       0.08% |       0.04%
    mpki                             |        0.03 |        0.02
  Cache L1-D                         |             |            
    num cache accesses               |   401316144 |   387074662
    num cache misses                 |   102493591 |   102870766
    miss rate                        |      25.54% |      26.58%
    mpki                             |       91.51 |       99.83
  Cache L2                           |             |            
    num cache accesses               |   102712012 |   103071579
    num cache misses                 |    21315942 |    21361329
    miss rate                        |      20.75% |      20.72%
    mpki                             |       19.03 |       20.73
  Cache L3                           |             |            
    num cache accesses               |    21508856 |    21552767
    num cache misses                 |      372516 |      366185
    miss rate                        |       1.73% |       1.70%
    mpki                             |        0.33 |        0.36
DRAM summary                         |             |            
  num dram accesses                  |      258499 |      258703
  average dram access latency (ns)   |       63.18 |       63.39
  average dram queueing delay        |        1.93 |        2.14
  average dram bandwidth utilization |       0.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |       88020 |       81203
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |      191916 |      193826
