                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  484944883 |   75570759 |  104928499 |  134286652 |  163644414 |  193003584 |  222361751 |  249621686
  Cycles                             |  529019160 |  529019160 |  529019160 |  529019160 |  529019160 |  529019160 |  529019160 |  529019160
  IPC                                |       0.92 |       0.14 |       0.20 |       0.25 |       0.31 |       0.36 |       0.42 |       0.47
  Time (ns)                          |  182420400 |  182420400 |  182420400 |  182420400 |  182420400 |  182420400 |  182420400 |  182420400
  Idle time (ns)                     |   30728815 |  161178078 |  156871137 |  152763690 |  148606428 |  143889237 |  139414104 |  135409920
  Idle time (%)                      |      16.8% |      88.4% |      86.0% |      83.7% |      81.5% |      78.9% |      76.4% |      74.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   42619304 |    9607492 |   13801124 |   17994864 |   22188492 |   26382522 |   30576266 |   34170513
  num incorrect                      |       8752 |         89 |         89 |         89 |         89 |         89 |         89 |         88
  misprediction rate                 |      0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   75548160 |        316 |        312 |        312 |        312 |        312 |        312 |        314
    num misses                       |        115 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      5.06% |      5.13% |      5.13% |      5.13% |      5.13% |      5.13% |      5.10%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   50848727 |   13193607 |   13193255 |   13192973 |   13192635 |   13192498 |   13192218 |   12892200
    num misses                       |   37408684 |    4162732 |    4167198 |    4172122 |    4160135 |    4172442 |    4178159 |    4172685
    miss rate                        |     73.57% |     31.55% |     31.59% |     31.62% |     31.53% |     31.63% |     31.67% |     32.37%
    mpki                             |      77.14 |      55.08 |      39.71 |      31.07 |      25.42 |      21.62 |      18.79 |      16.72
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |   37408799 |    4162748 |    4167214 |    4172138 |    4160151 |    4172458 |    4178175 |    4172701
    num misses                       |   36064162 |    4017801 |    4030723 |    4037281 |    4016605 |    4039000 |    4051587 |    4038917
    miss rate                        |     96.41% |     96.52% |     96.72% |     96.77% |     96.55% |     96.80% |     96.97% |     96.79%
    mpki                             |      74.37 |      53.17 |      38.41 |      30.06 |      24.54 |      20.93 |      18.22 |      16.18
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   75548160 |        316 |        312 |        312 |        312 |        312 |        312 |        314
    num cache misses                 |       5233 |         95 |         95 |         94 |         95 |         95 |         95 |         95
    miss rate                        |      0.01% |     30.06% |     30.45% |     30.13% |     30.45% |     30.45% |     30.45% |     30.25%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   50848727 |   13193607 |   13193255 |   13192973 |   13192635 |   13192498 |   13192218 |   12892200
    num cache misses                 |   38588773 |    4179486 |    4186626 |    4185627 |    4179132 |    4189051 |    4191348 |    4187696
    miss rate                        |     75.89% |     31.68% |     31.73% |     31.73% |     31.68% |     31.75% |     31.77% |     32.48%
    mpki                             |      79.57 |      55.31 |      39.90 |      31.17 |      25.54 |      21.70 |      18.85 |      16.78
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |   41777076 |    7536585 |    7571837 |    7584711 |    7584173 |    7588719 |    7598113 |    7563778
    num cache misses                 |   37621651 |    4078269 |    4095970 |    4095861 |    4079841 |    4106737 |    4111346 |    4092646
    miss rate                        |     90.05% |     54.11% |     54.09% |     54.00% |     53.79% |     54.12% |     54.11% |     54.11%
    mpki                             |      77.58 |      53.97 |      39.04 |      30.50 |      24.93 |      21.28 |      18.49 |      16.40
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |   40804726 |    7435271 |    7481086 |    7494849 |    7484787 |    7506310 |    7518015 |    7468632
    num cache misses                 |   31029076 |    3355179 |    3383285 |    3397783 |    3403877 |    3398012 |    3405046 |    3374803
    miss rate                        |     76.04% |     45.13% |     45.22% |     45.33% |     45.48% |     45.27% |     45.29% |     45.19%
    mpki                             |      63.98 |      44.40 |      32.24 |      25.30 |      20.80 |      17.61 |      15.31 |      13.52
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   38946459 |          0 |          0 |          0 |   38783000 |          0 |          0 |          0
  average dram access latency (ns)   |      68.78 |        inf |        inf |        inf |      68.52 |        inf |        inf |        inf
  average dram queueing delay        |       7.53 |       0.00 |       0.00 |       0.00 |       7.27 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     26.00% |      0.00% |      0.00% |      0.00% |     26.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |   29780667 |    3225160 |    3037230 |    2847380 |    2772211 |    2986781 |    3206761 |    3355534
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     196581 |     129964 |     346024 |     550375 |     631581 |     411186 |     198236 |      19219
