                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   69525925 |   71905458 |   79377909 |   79784424
  Cycles                             |   34660000 |   34660000 |   34660000 |   34660000
  IPC                                |       2.01 |       2.07 |       2.29 |       2.30
  Time (ns)                          |    8665000 |    8665000 |    8665000 |    8665000
  Idle time (ns)                     |        361 |     250097 |     251154 |     251988
  Idle time (%)                      |       0.0% |       2.9% |       2.9% |       2.9%
Branch predictor stats               |            |            |            |           
  num correct                        |    2028576 |    3195448 |   12397919 |   12533619
  num incorrect                      |      24901 |      17245 |      12574 |      12521
  misprediction rate                 |      1.21% |      0.54% |      0.10% |      0.10%
  mpki                               |       0.36 |       0.24 |       0.16 |       0.16
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    6416478 |    6156940 |    4194601 |    4194605
    num misses                       |        195 |         33 |         33 |         33
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   30066104 |   29837924 |   25316752 |   25384250
    num misses                       |       6876 |       4865 |       5613 |       4003
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.10 |       0.07 |       0.07 |       0.05
  L2 TLB                             |            |            |            |           
    num accesses                     |       7071 |       4898 |       5646 |       4036
    num misses                       |        538 |        155 |        135 |        140
    miss rate                        |      7.61% |      3.16% |      2.39% |      3.47%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    6416478 |    6156940 |    4194601 |    4194605
    num cache misses                 |      70133 |      48985 |      48542 |      48193
    miss rate                        |      1.09% |      0.80% |      1.16% |      1.15%
    mpki                             |       1.01 |       0.68 |       0.61 |       0.60
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   30066104 |   29837924 |   25316752 |   25384250
    num cache misses                 |    1552599 |    1484859 |    1015462 |    1006112
    miss rate                        |      5.16% |      4.98% |      4.01% |      3.96%
    mpki                             |      22.33 |      20.65 |      12.79 |      12.61
  Cache L2                           |            |            |            |           
    num cache accesses               |    1681608 |    1605438 |    1111215 |    1104596
    num cache misses                 |     145265 |     123184 |     100052 |     105257
    miss rate                        |      8.64% |      7.67% |      9.00% |      9.53%
    mpki                             |       2.09 |       1.71 |       1.26 |       1.32
  Cache L3                           |            |            |            |           
    num cache accesses               |     223447 |     231128 |     184579 |     176805
    num cache misses                 |      59755 |      88722 |      67356 |      58145
    miss rate                        |     26.74% |     38.39% |     36.49% |     32.89%
    mpki                             |       0.86 |       1.23 |       0.85 |       0.73
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9080 |          0 |       9055 |          0
  average dram access latency (ns)   |      67.80 |        inf |      67.66 |        inf
  average dram queueing delay        |       6.55 |       0.00 |       6.41 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       6811 |         38 |          4 |         17
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |      41014 |      85761 |      54319 |      50377
