                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9695231 |    4410589 |   84090134 |   84062057 |   84314516 |  171984092 |   98657090 |   94889851 |  102710114 |   97668360 |  368928589 |  352511047 |  371350957 |  352471382 |    4585550
  Cycles                             |  244818420 |  322715190 |  322715190 |  244818420 |  244818420 |  244818420 |  322715190 |  244818420 |  322715190 |  322715190 |  322715190 |  244818420 |  322715190 |  244818420 |  244818420
  IPC                                |       0.04 |       0.01 |       0.26 |       0.34 |       0.34 |       0.70 |       0.31 |       0.39 |       0.32 |       0.30 |       1.14 |       1.44 |       1.15 |       1.44 |       0.02
  Time (ns)                          |  111281100 |  111281100 |  111281100 |  111281100 |  111281100 |  111281100 |  111281100 |  111281100 |  111281100 |  111281100 |  111281100 |  111281100 |  111281100 |  111281100 |  111281100
  Idle time (ns)                     |  107538016 |  109179333 |   61655611 |   62007296 |   61454398 |   12837664 |   96387262 |   93983358 |   95503751 |   96262610 |    9338096 |    8441015 |    9379570 |    9576848 |  109609186
  Idle time (%)                      |      96.6% |      98.1% |      55.4% |      55.7% |      55.2% |      11.5% |      86.6% |      84.5% |      85.8% |      86.5% |       8.4% |       7.6% |       8.4% |       8.6% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279125 |     175564 |    4227096 |    4224602 |    4237562 |    8658486 |     151825 |     143586 |     157418 |     151912 |   43722888 |   42140258 |   44781503 |   42112379 |     469241
  num incorrect                      |       7634 |        728 |        635 |        629 |        626 |       1468 |       2694 |       2652 |       2778 |       2751 |    2000630 |    2062995 |    2073039 |    1962615 |       8254
  misprediction rate                 |      0.59% |      0.41% |      0.02% |      0.01% |      0.01% |      0.02% |      1.74% |      1.81% |      1.73% |      1.78% |      4.38% |      4.67% |      4.42% |      4.45% |      1.73%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.42 |       5.85 |       5.58 |       5.57 |       1.80
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529741 |     430469 |    6352636 |    6347327 |    6367491 |   13010281 |    5554170 |    5338050 |    5781129 |    5500012 |   42053427 |   40305479 |   42305128 |   40193037 |     620582
    num misses                       |        113 |         36 |         33 |         32 |         34 |         34 |         39 |         39 |         39 |         39 |         47 |         40 |         40 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4835876 |    3848698 |   56692365 |   56681326 |   56848775 |  115948442 |   23084581 |   22184825 |   24025707 |   22859209 |  180732553 |  170937659 |  180711293 |  171066563 |    2511231
    num misses                       |      14010 |       5337 |        608 |        600 |        598 |       1259 |       2165 |       2112 |       2244 |       2195 |      23136 |      22047 |      21771 |      31995 |       8092
    miss rate                        |      0.29% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.32%
    mpki                             |       1.45 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.06 |       0.06 |       0.06 |       0.09 |       1.76
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14123 |       5373 |        641 |        632 |        632 |       1293 |       2204 |       2151 |       2283 |       2234 |      23183 |      22087 |      21811 |      32035 |       8133
    num misses                       |       5826 |       5325 |        626 |        614 |        618 |       1191 |       1751 |       1690 |       1820 |       1772 |       2067 |       1756 |       1992 |       1904 |       2343
    miss rate                        |     41.25% |     99.11% |     97.66% |     97.15% |     97.78% |     92.11% |     79.45% |     78.57% |     79.72% |     79.32% |      8.92% |      7.95% |      9.13% |      5.94% |     28.81%
    mpki                             |       0.60 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.00 |       0.01 |       0.01 |       0.51
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529741 |     430469 |    6352636 |    6347327 |    6367491 |   13010281 |    5554170 |    5338050 |    5781129 |    5500012 |   42053427 |   40305479 |   42305128 |   40193037 |     620582
    num cache misses                 |       2015 |        466 |        404 |        655 |        650 |       1076 |       1244 |       1910 |       1118 |       1109 |      16308 |      24012 |      17216 |      22288 |        525
    miss rate                        |      0.13% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.04% |      0.02% |      0.02% |      0.04% |      0.06% |      0.04% |      0.06% |      0.08%
    mpki                             |       0.21 |       0.11 |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.04 |       0.07 |       0.05 |       0.06 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4835876 |    3848698 |   56692365 |   56681326 |   56848775 |  115948442 |   23084581 |   22184825 |   24025707 |   22859209 |  180732553 |  170937659 |  180711293 |  171066563 |    2511231
    num cache misses                 |     173465 |     334379 |      36425 |      36407 |      36607 |      74968 |      47697 |      45936 |      49565 |      47341 |    2598900 |    3152016 |    2568036 |    3188650 |      26329
    miss rate                        |      3.59% |      8.69% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.44% |      1.84% |      1.42% |      1.86% |      1.05%
    mpki                             |      17.89 |      75.81 |       0.43 |       0.43 |       0.43 |       0.44 |       0.48 |       0.48 |       0.48 |       0.48 |       7.04 |       8.94 |       6.92 |       9.05 |       5.74
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     240775 |     377951 |      37174 |      37405 |      37569 |      76953 |      49755 |      49276 |      52309 |      50032 |    2617041 |    3177720 |    2587209 |    3212682 |      35084
    num cache misses                 |     162454 |     333507 |      36454 |      36603 |      36783 |      74999 |      48356 |      47309 |      50082 |      47801 |     101768 |     103360 |     104562 |     106955 |      17897
    miss rate                        |     67.47% |     88.24% |     98.06% |     97.86% |     97.91% |     97.46% |     97.19% |     96.01% |     95.74% |     95.54% |      3.89% |      3.25% |      4.04% |      3.33% |     51.01%
    mpki                             |      16.76 |      75.62 |       0.43 |       0.44 |       0.44 |       0.44 |       0.49 |       0.50 |       0.49 |       0.49 |       0.28 |       0.29 |       0.28 |       0.30 |       3.90
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     227754 |     376614 |      36799 |      36946 |      37095 |      75921 |      49170 |      48740 |      51709 |      49383 |     103665 |     105096 |     106581 |     108756 |      26127
    num cache misses                 |     156401 |     332932 |      35125 |      27070 |      34964 |       9355 |       3925 |      44866 |      48960 |      46282 |      71137 |      45818 |      66350 |      55450 |      16526
    miss rate                        |     68.67% |     88.40% |     95.45% |     73.27% |     94.26% |     12.32% |      7.98% |     92.05% |     94.68% |     93.72% |     68.62% |     43.60% |     62.25% |     50.99% |     63.25%
    mpki                             |      16.13 |      75.48 |       0.42 |       0.32 |       0.41 |       0.05 |       0.04 |       0.47 |       0.48 |       0.47 |       0.19 |       0.13 |       0.18 |       0.16 |       3.60
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     348329 |          0 |          0 |          0 |          0 |          0 |          0 |     348049 |          0 |          0 |          0 |          0 |          0 |          0 |     348170
  average dram access latency (ns)   |      61.26 |        inf |        inf |        inf |        inf |        inf |        inf |      61.27 |        inf |        inf |        inf |        inf |        inf |        inf |      61.30
  average dram queueing delay        |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      75580 |     208938 |      33093 |      25224 |      33066 |       5238 |       1897 |       1375 |       1530 |       1525 |        874 |        553 |        814 |        516 |       3110
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4067 |          1 |        449 |        467 |        439 |       1378 |        367 |      41198 |      44603 |      42328 |      19609 |       4409 |      13475 |      10404 |       9033
