                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   12403617 |    4633884 |    4689761 |    4418301 |    4978756 |    4775015 |    4235066 |    4818200 |    4749751 |    4666716 |    4898887 |    4868684
  Cycles                             |    8990700 |    8990700 |    8990700 |    8990700 |   11987600 |   11987600 |   11987600 |   11987600 |    8990700 |    8990700 |    8990700 |    8990700
  IPC                                |       1.38 |       0.52 |       0.52 |       0.49 |       0.42 |       0.40 |       0.35 |       0.40 |       0.53 |       0.52 |       0.54 |       0.54
  Time (ns)                          |    2996900 |    2996900 |    2996900 |    2996900 |    2996900 |    2996900 |    2996900 |    2996900 |    2996900 |    2996900 |    2996900 |    2996900
  Idle time (ns)                     |       1456 |    2273723 |    2274208 |    2274181 |    2284426 |    2284435 |    2284441 |    2284848 |    2274411 |    2274870 |    2274948 |    2275048
  Idle time (%)                      |       0.0% |      75.9% |      75.9% |      75.9% |      76.2% |      76.2% |      76.2% |      76.2% |      75.9% |      75.9% |      75.9% |      75.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1540748 |    1474936 |    1500793 |    1374528 |    1613380 |    1524062 |    1274248 |    1543065 |    1509420 |    1470848 |    1577108 |    1564491
  num incorrect                      |      81093 |       5199 |       4376 |       8400 |       2531 |       5156 |      12880 |       4640 |       5849 |       7229 |       3750 |       4075
  misprediction rate                 |      5.00% |      0.35% |      0.29% |      0.61% |      0.16% |      0.34% |      1.00% |      0.30% |      0.39% |      0.49% |      0.24% |      0.26%
  mpki                               |       6.54 |       1.12 |       0.93 |       1.90 |       0.51 |       1.08 |       3.04 |       0.96 |       1.23 |       1.55 |       0.77 |       0.84
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1575121 |      29205 |      26451 |      43474 |      18211 |      28364 |      61870 |      26301 |      31824 |      37761 |      22010 |      24444
    num misses                       |        173 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         26 |         24 |         24 |         24
    miss rate                        |      0.01% |      0.08% |      0.09% |      0.06% |      0.13% |      0.08% |      0.04% |      0.09% |      0.08% |      0.06% |      0.11% |      0.10%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01 |       0.01 |       0.00 |       0.01 |       0.01 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2968448 |     847459 |     853398 |     829479 |     891667 |     869850 |     819190 |     874263 |     869371 |     861745 |     883040 |     880231
    num misses                       |       1876 |        311 |        293 |        344 |        312 |        319 |        314 |        302 |        287 |        296 |        273 |        277
    miss rate                        |      0.06% |      0.04% |      0.03% |      0.04% |      0.03% |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.15 |       0.07 |       0.06 |       0.08 |       0.06 |       0.07 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2049 |        335 |        317 |        368 |        336 |        343 |        338 |        326 |        313 |        320 |        297 |        301
    num misses                       |        666 |        165 |        168 |        169 |        176 |        171 |        172 |        158 |        161 |        157 |        157 |        158
    miss rate                        |     32.50% |     49.25% |     53.00% |     45.92% |     52.38% |     49.85% |     50.89% |     48.47% |     51.44% |     49.06% |     52.86% |     52.49%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1575121 |      29205 |      26451 |      43474 |      18211 |      28364 |      61870 |      26301 |      31824 |      37761 |      22010 |      24444
    num cache misses                 |       3355 |        155 |        157 |        157 |        155 |        155 |        156 |        155 |        162 |        154 |        154 |        155
    miss rate                        |      0.21% |      0.53% |      0.59% |      0.36% |      0.85% |      0.55% |      0.25% |      0.59% |      0.51% |      0.41% |      0.70% |      0.63%
    mpki                             |       0.27 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2968448 |     847459 |     853398 |     829479 |     891667 |     869850 |     819190 |     874263 |     869371 |     861745 |     883040 |     880231
    num cache misses                 |      39100 |      10078 |      10009 |      10488 |       9788 |      10059 |      10902 |       9899 |      10063 |      10037 |       9799 |       9853
    miss rate                        |      1.32% |      1.19% |      1.17% |      1.26% |      1.10% |      1.16% |      1.33% |      1.13% |      1.16% |      1.16% |      1.11% |      1.12%
    mpki                             |       3.15 |       2.17 |       2.13 |       2.37 |       1.97 |       2.11 |       2.57 |       2.05 |       2.12 |       2.15 |       2.00 |       2.02
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      44591 |      10328 |      10256 |      10786 |       9993 |      10287 |      11221 |      10139 |      10672 |      10679 |      10315 |      10399
    num cache misses                 |      30908 |       9271 |       9210 |       9542 |       9084 |       9259 |       9629 |       9154 |       9294 |       9227 |       9068 |       9110
    miss rate                        |     69.31% |     89.77% |     89.80% |     88.47% |     90.90% |     90.01% |     85.81% |     90.29% |     87.09% |     86.40% |     87.91% |     87.60%
    mpki                             |       2.49 |       2.00 |       1.96 |       2.16 |       1.82 |       1.94 |       2.27 |       1.90 |       1.96 |       1.98 |       1.85 |       1.87
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      34741 |       9369 |       9303 |       9686 |       9134 |       9332 |       9794 |       9239 |       9741 |       9714 |       9432 |       9506
    num cache misses                 |      22530 |       3342 |       3360 |       3502 |       3316 |       3390 |       3753 |       3413 |       6841 |       6654 |       6509 |       6527
    miss rate                        |     64.85% |     35.67% |     36.12% |     36.16% |     36.30% |     36.33% |     38.32% |     36.94% |     70.23% |     68.50% |     69.01% |     68.66%
    mpki                             |       1.82 |       0.72 |       0.72 |       0.79 |       0.67 |       0.71 |       0.89 |       0.71 |       1.44 |       1.43 |       1.33 |       1.34
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      13161 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      13085 |          0 |          0 |          0
  average dram access latency (ns)   |      69.30 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      69.11 |        inf |        inf |        inf
  average dram queueing delay        |       8.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       7.86 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      10436 |        202 |        226 |        174 |        232 |        237 |        206 |        201 |        104 |         94 |         91 |         86
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1310 |       1244 |       1208 |       1298 |       1235 |       1224 |       1363 |       1263 |       1953 |       1980 |       1791 |       1766
