                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9695646 |    4394760 |   84090134 |   84315432 |   84061982 |  171984037 |   97022283 |   97875381 |  100920692 |   98108874 |  364212479 |  371210086 |  357859778 |  352012391 |    4528570
  Cycles                             |  319115710 |  319115710 |  319115710 |  319115710 |  242087780 |  242087780 |  242087780 |  242087780 |  319115710 |  319115710 |  319115710 |  319115710 |  242087780 |  242087780 |  242087780
  IPC                                |       0.03 |       0.01 |       0.26 |       0.26 |       0.35 |       0.71 |       0.40 |       0.40 |       0.32 |       0.31 |       1.14 |       1.16 |       1.48 |       1.45 |       0.02
  Time (ns)                          |  110039900 |  110039900 |  110039900 |  110039900 |  110039900 |  110039900 |  110039900 |  110039900 |  110039900 |  110039900 |  110039900 |  110039900 |  110039900 |  110039900 |  110039900
  Idle time (ns)                     |  107069781 |  107927403 |   60426488 |   60287948 |   60486922 |   11108627 |   92656390 |   92648548 |   94557394 |   94982412 |    7322831 |    7607272 |    7002388 |    9029987 |  108404334
  Idle time (%)                      |      97.3% |      98.1% |      54.9% |      54.8% |      55.0% |      10.1% |      84.2% |      84.2% |      85.9% |      86.3% |       6.7% |       6.9% |       6.4% |       8.2% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279213 |     172930 |    4227096 |    4237718 |    4224591 |    8658483 |     150872 |     145325 |     156851 |     152221 |   43427370 |   44335071 |   42986184 |   42001324 |     460534
  num incorrect                      |       7646 |        727 |        635 |        635 |        627 |       1471 |       2707 |       2597 |       2709 |       2777 |    2102064 |    2032545 |    2007205 |    1970964 |       8095
  misprediction rate                 |      0.59% |      0.42% |      0.02% |      0.01% |      0.01% |      0.02% |      1.76% |      1.76% |      1.70% |      1.79% |      4.62% |      4.38% |      4.46% |      4.48% |      1.73%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.77 |       5.48 |       5.61 |       5.60 |       1.79
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529810 |     430466 |    6352636 |    6367612 |    6347313 |   13010265 |    5463758 |    5502217 |    5682964 |    5524411 |   41575015 |   42113757 |   40859904 |   40312452 |     614826
    num misses                       |        116 |         35 |         33 |         32 |         32 |         32 |         38 |         39 |         39 |         38 |         47 |         46 |         39 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836109 |    3838146 |   56692365 |   56849234 |   56681291 |  115948415 |   22708107 |   22867520 |   23617830 |   22961266 |  176725214 |  181410635 |  173593074 |  171738517 |    2480550
    num misses                       |      13598 |       5326 |        596 |        597 |        589 |       1158 |       2167 |       2148 |       2249 |       2213 |      20091 |      22989 |      20425 |      18748 |       3021
    miss rate                        |      0.28% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.12%
    mpki                             |       1.40 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.06 |       0.06 |       0.06 |       0.05 |       0.67
