,avg_ipc,ipc_cv,pe_ratio,local_ratio,remote_ratio,l2_intensity,l3_intensity,mem_intensity,read_ratio,cpi_l3_ratio,cpi_dram_local_ratio,cpi_dram_remote_ratio,cpi_branch_ratio,cpi_sync_ratio,uop_load_ratio,uop_store_ratio,uop_fp_ratio,dtlb_miss_rate,branch_mispredict_rate,avg_dram_latency,dram_queue_ratio,l1d_hit_ratio,futex_wake_per_minst,mem_bw_mbps,operational_intensity,itlb_miss_rate,stlb_miss_rate,load_l1_ratio,Packed,Scatter,HPO,EPO
BC,0.266029992750336,0.5538674157202262,0.3365448068515388,0.501286487445657,0.498713512554343,0.00022342699658532925,0.0006316016347328001,0.00020183102336404952,0.9955917713064387,0.0005461230420349658,0.006933700100187777,0.007469021335524782,0.1393044198995693,0.7513936630838768,0.14878390169802463,0.017658191978969975,3.136749823734265e-08,0.0003395914239459337,0.008687650447317155,61440725.892929025,0.15145689241621926,0.9920185300866824,3.0333,191.4506678475888,1.3976474797620645e-06,0.00032078298742426836,0.6130737803412641,0.7920959280654549,0.0074743,0.0074899,0.0074767,0.0073214
BFS,0.2656801980877714,0.5541778353494868,0.33608461531640865,0.5009782995375311,0.49902170046246885,0.0002239606944690772,0.000628173279290302,0.00020100686850337677,0.9950721420643729,0.0005711192241365466,0.006840094952077743,0.007460897930175623,0.13941017415131549,0.7519421214941324,0.148770961633787,0.017603059702590847,3.1313478291774604e-08,0.0003199536692787279,0.008700172325470521,61465033.14178638,0.17088373090774087,0.992069037788355,3.0316,191.26817352718427,1.3942178995270812e-06,0.0003245869128854685,0.6573373676248109,0.7940996813565514,0.0074999,0.0075009,0.0075116,0.007354
BT,1.658766393081373,0.5984907797226576,0.25368106111272587,0.4976200190398477,0.5023799809601524,0.0015701712239777658,6.666435733932348e-05,7.340266839114189e-06,0.9991536182818451,2.643136168449415e-05,0.000128050056531838,0.000172775905214963,0.002363198730486344,1.1011872694623299e-06,0.21139245387284944,0.08749781830854132,0.10987361494708416,0.00011695061703518065,0.0003276330112852876,62482820.96145701,0.9843200727745798,0.9912950852256391,14.6553,57.90264863436563,160.16517394936233,1.6082826062856522e-05,0.05705698120832491,0.8711031748328616,0.0234865,0.0234551,0.0234814,0.0240239
CC,0.26213204067953094,0.5544371718451905,0.3359902664239922,0.4999123882950762,0.5000876117049238,0.00023002853620061013,0.0006467591328164582,0.00020945717688023647,0.9953053742287401,0.0005531761614140691,0.007049038880245483,0.007664328230120952,0.14099150963680526,0.7525807523725001,0.153193950396395,0.01838627316053537,3.203496013641639e-08,0.00031659779341611076,0.008830288424970958,61479278.72332779,0.18226908403621506,0.9920821761436982,3.1105,192.38205913716342,1.4038003683572167e-06,0.0002969002866495254,0.6333248923778172,0.7949471930402728,0.0074055,0.0074086,0.0073998,0.0072343
CG,1.307994710394616,0.5983250163556608,0.2515896134550563,0.4986916402699353,0.5013083597300647,0.022236397978357785,0.002641909932611533,1.9024736362573903e-05,0.9971908305277378,0.0002759451645625607,0.0002982278928300519,0.0003904893387709301,0.06412399628852117,0.009374577032352893,0.29593966322647863,0.015751506214255088,0.08304477760245463,5.859141732616086e-05,0.004658941292148488,571688203.193626,407.95142596316083,0.9240866708693812,97.4042,261.6046009488385,23.820742253021375,4.8693868143497584e-05,0.3688001889466226,0.7746070776762117,0.0113764,0.0113586,0.0113749,0.01159
FT,1.7744739084869428,0.5825200739744818,0.2638556948603352,0.5002034506512023,0.4997965493487977,0.014846948653019583,0.0005892357313770681,0.0011499123195003352,0.563712734264701,0.000511794538442792,0.042356606174889996,0.04265416928641626,0.02613380755602684,1.814360952367947e-06,0.16442003351251017,0.14142286636660825,0.10853796936308077,0.0008871508651799477,0.005392622299180048,1610566118.695362,676.6559122167562,0.9003391634877697,2.1344,10341.198178632387,1.1845250986488511,8.153706586386926e-06,0.1824740453985571,0.5593969995604795,0.0176351,0.0177042,0.0176447,0.0177385
IS,0.618793450873428,0.5843384086798317,0.26362462927479297,0.5013576106053346,0.4986423893946654,0.0029873493270849666,0.0014184155932445233,0.00011536223261978879,0.9987135285339371,0.0006432967173577701,0.0008625323157440823,0.0012218926673307029,0.0070913727852186335,3.7591365995780467e-06,0.2349132158174128,0.10197300254222247,0.05672132183239695,0.0028929473475935454,0.002019125712873302,204497892.70661584,114.48560021947846,0.9754492530696409,14.2575,368.41054674373135,4.2269465233408905,0.00011316216525989375,0.06021116238918955,0.6737184673475927,0.0033715,0.0033718,0.0033644,0.0034222
MG,0.9608613881239173,0.5645906670208637,0.2791035936298896,0.4994326062287227,0.5005673937712772,0.0055161401622287115,0.0002800698106402563,0.00012705105921111207,0.9973633998265394,0.0004861580635441855,0.0024374859290311256,0.0030364065894026185,0.023279790289202584,6.730992518501816e-06,0.2674451482209446,0.04702117817236291,0.018269395567314876,0.00021921030708517804,0.002902376402170079,288991606.9870256,182.0146632782609,0.9757350079576963,279.4845,749.7701711491443,3.3502806619360674,0.00017205123303383674,0.4834425664022077,0.8181349850717887,0.002454,0.0024173,0.0024081,0.0025492
PR,0.2657958177769965,0.5539867778116752,0.3371398333987208,0.5039118065433855,0.49608819345661453,0.00023038430359206973,0.0006453047376470157,0.0002074417744799552,0.9959414860404959,0.0005888796322073935,0.00719656144554788,0.0075803802897547465,0.13771678969127252,0.7490277047502046,0.153251331099871,0.018517884401427372,3.219776485370229e-08,0.00034196327237566866,0.0086954946266928,61440219.820429,0.15105242917232783,0.9920795977101682,3.1129,196.8733809800167,1.3993999373068828e-06,0.0003042052757886401,0.5972947318462268,0.7948944254570992,0.0072594,0.0072673,0.0072623,0.0071101
SP,1.420428518626587,0.6591530658594523,0.23265736393247272,0.500690798563139,0.499309201436861,0.005025077698619161,0.00023403775775717692,1.3299144964015e-05,0.9993509865005192,5.539380757459204e-05,0.0002168996442512996,0.00027628378249018945,0.008470576972865514,1.5336644569281106e-06,0.19328906449501548,0.05329591778071284,0.06522106011177202,0.00022544996440890526,0.000975556528968839,62041039.88721479,0.6312398197077971,0.9701773226832916,80.7334,96.67998718091263,55.48835414231286,3.248613294875229e-05,0.06429895877906147,0.7240867374268141,0.0152897,0.0153436,0.0153242,0.0157561
SSSP,0.3708753970079645,0.5531461460887515,0.3082793839650228,0.500163692912097,0.4998363070879031,0.00020625497619167145,0.0004272913552414182,0.00014937897445820044,0.9946034463508132,0.0003999441374050199,0.00583288189908791,0.0062841296217182275,0.11178473981631196,0.6862808661020025,0.14770427362976518,0.014257813649070743,2.1316094922105448e-08,0.0004760560964176845,0.006779396225699365,61476740.21609789,0.18024025838612678,0.994012634924284,2.9136,211.79396223452477,1.1693608741206407e-06,0.0003312113487117433,0.411250963267403,0.7912024693513685,0.0080754,0.0080954,0.0080789,0.0079078
TC,0.2690377806643136,0.5538557637733866,0.33507223400099156,0.501231310466139,0.49876868953386105,0.0002314627340315233,0.000620821294034314,0.00020092619376533972,0.9953455383660623,0.0006382440376448642,0.006895786032658769,0.007449621832543574,0.13812204293907146,0.7498923210391406,0.14883365123828168,0.017596298116171367,3.095220592502602e-08,0.0003430220165288273,0.008600914913817748,61446219.967934445,0.1558478668295294,0.9920693665076172,3.5501,191.61027695072858,1.3917342121670971e-06,0.0004260033545191684,0.6126188819299466,0.7943623044989508,0.0074998,0.0074996,0.0075135,0.0073405
lavaMD,0.255492905346682,0.0,1.0,0.500996015936255,0.499003984063745,0.004610178797355041,3.580721396003915e-05,0.017975221407939654,1.0,0.0001501007819535974,0.11019899075093277,0.16150844138207082,0.22651280145240377,0.0004750933219025166,0.25662079333873017,0.11963283407876371,0.0,0.0041397894501689425,0.06240344294857647,61344510.575793184,0.07455969037673989,0.9232288248875926,2.9857,1660.8777060468465,0.0,0.0023414536940168386,0.413391557496361,0.8261167445487372,0.0003279,0.0003272,0.0003277,0.0003762
