                                     | Core 0     | Core 1    
  Instructions                       |   24873414 |    6009337
  Cycles                             |   20554800 |   20554800
  IPC                                |       1.21 |       0.29
  Time (ns)                          |    5138700 |    5138700
  Idle time (ns)                     |       1406 |    3434174
  Idle time (%)                      |       0.0% |      66.8%
Branch predictor stats               |            |           
  num correct                        |    3134876 |    1373941
  num incorrect                      |     200859 |      67310
  misprediction rate                 |      6.02% |      4.67%
  mpki                               |       8.08 |      11.20
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    2903736 |     568119
    num misses                       |        179 |         27
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6207147 |    1857315
    num misses                       |       4993 |       3778
    miss rate                        |      0.08% |      0.20%
    mpki                             |       0.20 |       0.63
  L2 TLB                             |            |           
    num accesses                     |       5172 |       3805
    num misses                       |        695 |        232
    miss rate                        |     13.44% |      6.10%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    2903736 |     568119
    num cache misses                 |       2931 |        214
    miss rate                        |      0.10% |      0.04%
    mpki                             |       0.12 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |    6207147 |    1857315
    num cache misses                 |     100241 |      74692
    miss rate                        |      1.61% |      4.02%
    mpki                             |       4.03 |      12.43
  Cache L2                           |            |           
    num cache accesses               |     105200 |      74907
    num cache misses                 |      72905 |      56252
    miss rate                        |     69.30% |     75.10%
    mpki                             |       2.93 |       9.36
  Cache L3                           |            |           
    num cache accesses               |      75050 |      56299
    num cache misses                 |      22568 |       4074
    miss rate                        |     30.07% |      7.24%
    mpki                             |       0.91 |       0.68
DRAM summary                         |            |           
  num dram accesses                  |      26621 |          0
  average dram access latency (ns)   |      61.88 |        inf
  average dram queueing delay        |       0.63 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11721 |       1843
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
