                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   21981770 |    4733148 |    4459457 |    4538940 |    5565357 |    5052333
  Cycles                             |   14920900 |   14920900 |   14920900 |   14920900 |   14920900 |   14920900
  IPC                                |       1.47 |       0.32 |       0.30 |       0.30 |       0.37 |       0.34
  Time (ns)                          |   14920900 |   14920900 |   14920900 |   14920900 |   14920900 |   14920900
  Idle time (ns)                     |       1542 |   12010414 |   12011111 |   12011569 |   12011060 |   12011803
  Idle time (%)                      |       0.0% |      80.5% |      80.5% |      80.5% |      80.5% |      80.5%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2506636 |    1417045 |    1304071 |    1337720 |    1645304 |    1434216
  num incorrect                      |     168148 |      13848 |      17495 |      16760 |      21816 |      29390
  misprediction rate                 |      6.29% |      0.97% |      1.32% |      1.24% |      1.31% |      2.01%
  mpki                               |       7.65 |       2.93 |       3.92 |       3.69 |       3.92 |       5.82
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    3303356 |      68459 |      72848 |      71033 |      79008 |      84989
    num misses                       |        176 |         26 |         26 |         26 |         28 |         26
    miss rate                        |      0.01% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5228252 |    1033835 |    1007422 |    1014911 |    1213060 |    1159163
    num misses                       |       2919 |       1199 |       1227 |       1285 |       1167 |       1184
    miss rate                        |      0.06% |      0.12% |      0.12% |      0.13% |      0.10% |      0.10%
    mpki                             |       0.13 |       0.25 |       0.28 |       0.28 |       0.21 |       0.23
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       3095 |       1225 |       1253 |       1311 |       1195 |       1210
    num misses                       |        667 |        185 |        198 |        196 |        189 |        184
    miss rate                        |     21.55% |     15.10% |     15.80% |     14.95% |     15.82% |     15.21%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04 |       0.03 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    3303356 |      68459 |      72848 |      71033 |      79008 |      84989
    num cache misses                 |       3365 |        180 |        183 |        180 |        184 |        179
    miss rate                        |      0.10% |      0.26% |      0.25% |      0.25% |      0.23% |      0.21%
    mpki                             |       0.15 |       0.04 |       0.04 |       0.04 |       0.03 |       0.04
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5228252 |    1033835 |    1007422 |    1014911 |    1213060 |    1159163
    num cache misses                 |      59865 |      32839 |      33013 |      33023 |      31627 |      31775
    miss rate                        |      1.15% |      3.18% |      3.28% |      3.25% |      2.61% |      2.74%
    mpki                             |       2.72 |       6.94 |       7.40 |       7.28 |       5.68 |       6.29
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      65546 |      33127 |      33312 |      33304 |      33119 |      33436
    num cache misses                 |      51018 |      29657 |      29680 |      29738 |      28187 |      28146
    miss rate                        |     77.84% |     89.53% |     89.10% |     89.29% |     85.11% |     84.18%
    mpki                             |       2.32 |       6.27 |       6.66 |       6.55 |       5.06 |       5.57
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      53620 |      29793 |      29831 |      29863 |      29499 |      29629
    num cache misses                 |      29529 |      10650 |      10253 |      10782 |      21299 |      20975
    miss rate                        |     55.07% |     35.75% |     34.37% |     36.10% |     72.20% |     70.79%
    mpki                             |       1.34 |       2.25 |       2.30 |       2.38 |       3.83 |       4.15
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      13602 |          0 |          0 |          0 |      13535 |          0
  average dram access latency (ns)   |      61.29 |        inf |        inf |        inf |      61.29 |        inf
  average dram queueing delay        |       0.04 |       0.00 |       0.00 |       0.00 |       0.04 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10689 |        438 |        392 |        400 |        234 |        199
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3211 |       3177 |       3097 |       3210 |       4903 |       5113
