                                     | Core 0     | Core 1    
  Instructions                       |  306679138 |  144763141
  Cycles                             |  285124230 |  285124230
  IPC                                |       1.08 |       0.51
  Time (ns)                          |   98318700 |   98318700
  Idle time (ns)                     |    8978276 |   60185600
  Idle time (%)                      |       9.1% |      61.2%
Branch predictor stats               |            |           
  num correct                        |   27938098 |   17393145
  num incorrect                      |       8778 |         78
  misprediction rate                 |      0.03% |      0.00%
  mpki                               |       0.03 |       0.00
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   37798787 |        236
    num misses                       |        118 |         16
    miss rate                        |      0.00% |      6.78%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   44553516 |   25474704
    num misses                       |   24752053 |    8303817
    miss rate                        |     55.56% |     32.60%
    mpki                             |      80.71 |      57.36
  L2 TLB                             |            |           
    num accesses                     |   24752171 |    8303833
    num misses                       |   23057705 |    7787831
    miss rate                        |     93.15% |     93.79%
    mpki                             |      75.19 |      53.80
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   37798787 |        236
    num cache misses                 |       3569 |         96
    miss rate                        |      0.01% |     40.68%
    mpki                             |       0.01 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |   44553516 |   25474704
    num cache misses                 |   25448413 |    8363226
    miss rate                        |     57.12% |     32.83%
    mpki                             |      82.98 |      57.77
  Cache L2                           |            |           
    num cache accesses               |   30438131 |   13544745
    num cache misses                 |   24223085 |    8018134
    miss rate                        |     79.58% |     59.20%
    mpki                             |      78.99 |      55.39
  Cache L3                           |            |           
    num cache accesses               |   29209238 |   13199557
    num cache misses                 |   15649726 |    5176499
    miss rate                        |     53.58% |     39.22%
    mpki                             |      51.03 |      35.76
DRAM summary                         |            |           
  num dram accesses                  |   31508844 |          0
  average dram access latency (ns)   |      67.42 |        inf
  average dram queueing delay        |       6.17 |       0.00
  average dram bandwidth utilization |     40.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |   15122349 |    5176443
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
