                                     | Core 0     | Core 1    
  Instructions                       |     385442 |          0
  Cycles                             |     722800 |     722800
  IPC                                |       0.53 |       0.00
  Time (ns)                          |     180700 |     180700
  Idle time (ns)                     |        198 |     180700
  Idle time (%)                      |       0.1% |     100.0%
Branch predictor stats               |            |           
  num correct                        |      55922 |          0
  num incorrect                      |       3542 |          0
  misprediction rate                 |      5.96% |      0.00%
  mpki                               |       9.19 |       0.00
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      45160 |          0
    num misses                       |         94 |          0
    miss rate                        |      0.21% |      0.00%
    mpki                             |       0.24 |       0.00
  D-TLB                              |            |           
    num accesses                     |     158062 |          0
    num misses                       |        351 |          0
    miss rate                        |      0.22% |      0.00%
    mpki                             |       0.91 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        445 |          0
    num misses                       |        297 |          0
    miss rate                        |     66.74% |      0.00%
    mpki                             |       0.77 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      45160 |          0
    num cache misses                 |       1157 |          0
    miss rate                        |      2.56% |       inf%
    mpki                             |       3.00 |        inf
  Cache L1-D                         |            |           
    num cache accesses               |     158062 |          0
    num cache misses                 |       9915 |          0
    miss rate                        |      6.27% |       inf%
    mpki                             |      25.72 |        inf
  Cache L2                           |            |           
    num cache accesses               |      12949 |          0
    num cache misses                 |       9305 |          0
    miss rate                        |     71.86% |       inf%
    mpki                             |      24.14 |        inf
  Cache L3                           |            |           
    num cache accesses               |      11187 |          0
    num cache misses                 |       9285 |          0
    miss rate                        |     83.00% |       inf%
    mpki                             |      24.09 |        inf
DRAM summary                         |            |           
  num dram accesses                  |       9285 |          0
  average dram access latency (ns)   |      62.42 |        inf
  average dram queueing delay        |       1.17 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6150 |          0
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
