                                     | Core 0      | Core 1     
  Instructions                       |  2258509104 |  2261107871
  Cycles                             |  2894804800 |  2894804800
  IPC                                |        0.78 |        0.78
  Time (ns)                          |  2894804800 |  2894804800
  Idle time (ns)                     |         150 |      395337
  Idle time (%)                      |        0.0% |        0.0%
Branch predictor stats               |             |            
  num correct                        |   171130553 |   172083539
  num incorrect                      |       10366 |        6562
  misprediction rate                 |       0.01% |       0.00%
  mpki                               |        0.00 |        0.00
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   329296853 |   329275338
    num misses                       |         117 |          24
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |   838551234 |   838853175
    num misses                       |    41376922 |    41210933
    miss rate                        |       4.93% |       4.91%
    mpki                             |       18.32 |       18.23
  L2 TLB                             |             |            
    num accesses                     |    41377039 |    41210957
    num misses                       |    18799874 |    18759909
    miss rate                        |      45.44% |      45.52%
    mpki                             |        8.32 |        8.30
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   329296853 |   329275338
    num cache misses                 |       23079 |       18538
    miss rate                        |       0.01% |       0.01%
    mpki                             |        0.01 |        0.01
  Cache L1-D                         |             |            
    num cache accesses               |   838551234 |   838853175
    num cache misses                 |    45570740 |    45539146
    miss rate                        |       5.43% |       5.43%
    mpki                             |       20.18 |       20.14
  Cache L2                           |             |            
    num cache accesses               |    45812394 |    45783937
    num cache misses                 |    13514711 |    13490022
    miss rate                        |      29.50% |      29.46%
    mpki                             |        5.98 |        5.97
  Cache L3                           |             |            
    num cache accesses               |    13733295 |    13716284
    num cache misses                 |    13067561 |    13056090
    miss rate                        |      95.15% |      95.19%
    mpki                             |        5.79 |        5.77
DRAM summary                         |             |            
  num dram accesses                  |    33902797 |           0
  average dram access latency (ns)   |     2555.55 |         inf
  average dram queueing delay        |     2494.30 |        0.00
  average dram bandwidth utilization |       1.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |     9216633 |     9207773
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
