                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
    miss rate                        |     73.83% |     74.10% |     73.99% |     73.27% |     50.31% |     50.06% |     50.31% |     52.03% |     49.51% |     32.03% |     47.12% |     32.57%
    mpki                             |       7.16 |       6.86 |       6.77 |       6.72 |       8.41 |       7.80 |       8.01 |       8.39 |       3.97 |       3.86 |       3.64 |       3.82
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   11045610 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   11046191 |          0 |          0 |          0
  average dram access latency (ns)   |    3109.54 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |    3190.88 |        inf |        inf |        inf
  average dram queueing delay        |    3048.29 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |    3129.63 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     17.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     17.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1078872 |    1097348 |    1085981 |    1076758 |    1064591 |    1038202 |    1049257 |    1047551 |     564861 |     592763 |     586057 |     594188
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      23236 |       4668 |       4636 |       4682 |       4742 |       4645 |       4909 |      58610 |      73674 |       3589 |       3935 |      15589
