feature,importance
num_threads,0.060939692
bench_class_enc,0.0
avg_ipc,0.007203164
ipc_cv,0.038993344
pe_ratio,0.022076342
local_ratio,0.10899458
remote_ratio,0.0
l2_intensity,0.02331066
l3_intensity,0.004761767
mem_intensity,0.017932978
read_ratio,0.0056372783
cpi_l3_ratio,0.097139195
cpi_dram_local_ratio,0.0016327054
cpi_dram_remote_ratio,0.052473694
cpi_branch_ratio,0.058807783
cpi_sync_ratio,0.0012677944
uop_load_ratio,0.016351141
uop_store_ratio,0.012479588
uop_fp_ratio,0.0
dtlb_miss_rate,0.036472756
branch_mispredict_rate,0.05719151
avg_dram_latency,0.07551093
dram_queue_ratio,0.10696221
l1d_hit_ratio,0.051205248
futex_wake_per_minst,0.011824384
mem_bw_mbps,0.028225731
operational_intensity,0.027556406
itlb_miss_rate,0.042002093
stlb_miss_rate,0.021464156
load_l1_ratio,0.011582836
