                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |  475331793 |  495001908 |  482084913 |  427666709 |  671971409 |  682464618
  Cycles                             |  350001200 |  350001200 |  350001200 |  350001200 |  350001200 |  350001200
  IPC                                |       1.36 |       1.41 |       1.38 |       1.22 |       1.92 |       1.95
  Time (ns)                          |   87500300 |   87500300 |   87500300 |   87500300 |   87500300 |   87500300
  Idle time (ns)                     |    1066217 |    1089043 |     794926 |     481228 |     284358 |     288933
  Idle time (%)                      |       1.2% |       1.2% |       0.9% |       0.5% |       0.3% |       0.3%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |  100689495 |  108539352 |  104332037 |   85650151 |  166405347 |  170017255
  num incorrect                      |     229480 |     235464 |     244728 |     248497 |     247217 |     234588
  misprediction rate                 |      0.23% |      0.22% |      0.23% |      0.29% |      0.15% |      0.14%
  mpki                               |       0.48 |       0.48 |       0.51 |       0.58 |       0.37 |       0.34
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   13687930 |   13214735 |   13303977 |   13606113 |   13917901 |   14042511
    num misses                       |        263 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |  152511041 |  154003626 |  151653419 |  143229465 |  184801285 |  186361819
    num misses                       |     131724 |     129134 |     129441 |     129099 |     130976 |     129466
    miss rate                        |      0.09% |      0.08% |      0.09% |      0.09% |      0.07% |      0.07%
    mpki                             |       0.28 |       0.26 |       0.27 |       0.30 |       0.19 |       0.19
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |     131987 |     129161 |     129468 |     129126 |     131003 |     129493
    num misses                       |      18427 |      10702 |      22971 |      12018 |      14933 |      22925
    miss rate                        |     13.96% |      8.29% |     17.74% |      9.31% |     11.40% |     17.70%
    mpki                             |       0.04 |       0.02 |       0.05 |       0.03 |       0.02 |       0.03
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   13687930 |   13214735 |   13303977 |   13606113 |   13917901 |   14042511
    num cache misses                 |      27819 |      11727 |      11736 |      12231 |      11650 |      11503
    miss rate                        |      0.20% |      0.09% |      0.09% |      0.09% |      0.08% |      0.08%
    mpki                             |       0.06 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |  152511041 |  154003626 |  151653419 |  143229465 |  184801285 |  186361819
    num cache misses                 |   34780612 |   34031444 |   33876170 |   34180732 |   34494779 |   34342989
    miss rate                        |     22.81% |     22.10% |     22.34% |     23.86% |     18.67% |     18.43%
    mpki                             |      73.17 |      68.75 |      70.27 |      79.92 |      51.33 |      50.32
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |   34935469 |   34167488 |   34013370 |   34319911 |   34565611 |   34414036
    num cache misses                 |    7487375 |    7313631 |    7296991 |    7363967 |    7343930 |    7305454
    miss rate                        |     21.43% |     21.41% |     21.45% |     21.46% |     21.25% |     21.23%
    mpki                             |      15.75 |      14.77 |      15.14 |      17.22 |      10.93 |      10.70
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |    7620402 |    7442610 |    7450082 |    7516200 |    7405726 |    7367221
    num cache misses                 |    1852760 |    1762615 |    1742410 |    2020737 |     168419 |     173917
    miss rate                        |     24.31% |     23.68% |     23.39% |     26.89% |      2.27% |      2.36%
    mpki                             |       3.90 |       3.56 |       3.61 |       4.73 |       0.25 |       0.25
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |    3922782 |          0 |          0 |          0 |    3915261 |          0
  average dram access latency (ns)   |     252.45 |        inf |        inf |        inf |     254.51 |        inf
  average dram queueing delay        |     191.20 |       0.00 |       0.00 |       0.00 |     193.26 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      5.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |    1763013 |    1681153 |    1667986 |    1936950 |      17990 |      18433
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      30868 |      36625 |      30209 |      36287 |     126644 |     130213
