                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   11194430 |    3008131 |    3318514 |    2799777 |    3713849 |    3992704
  Cycles                             |    7617500 |    7617500 |    7617500 |    7617500 |    7617500 |    7617500
  IPC                                |       1.47 |       0.39 |       0.44 |       0.37 |       0.49 |       0.52
  Time (ns)                          |    7617500 |    7617500 |    7617500 |    7617500 |    7617500 |    7617500
  Idle time (ns)                     |       1453 |    5820908 |    5821719 |    5822113 |    5822210 |    5822450
  Idle time (%)                      |       0.0% |      76.4% |      76.4% |      76.4% |      76.4% |      76.4%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1354325 |     895167 |    1024829 |     806621 |    1131719 |    1249872
  num incorrect                      |      78925 |      11429 |       7018 |      14485 |      11302 |       7024
  misprediction rate                 |      5.51% |      1.26% |      0.68% |      1.76% |      0.99% |      0.56%
  mpki                               |       7.05 |       3.80 |       2.11 |       5.17 |       3.04 |       1.76
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1637949 |      42133 |      35731 |      45199 |      39755 |      35145
    num misses                       |        171 |         28 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.07% |      0.07% |      0.06% |      0.07% |      0.07%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    2763378 |     646758 |     676613 |     626477 |     762384 |     789507
    num misses                       |       2076 |        135 |        143 |        155 |        148 |        147
    miss rate                        |      0.08% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.19 |       0.04 |       0.04 |       0.06 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2247 |        163 |        169 |        181 |        174 |        173
    num misses                       |        596 |        132 |        140 |        142 |        138 |        138
    miss rate                        |     26.52% |     80.98% |     82.84% |     78.45% |     79.31% |     79.77%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.03
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1637949 |      42133 |      35731 |      45199 |      39755 |      35145
    num cache misses                 |       3165 |        183 |        175 |        175 |        175 |        175
    miss rate                        |      0.19% |      0.43% |      0.49% |      0.39% |      0.44% |      0.50%
    mpki                             |       0.28 |       0.06 |       0.05 |       0.06 |       0.05 |       0.04
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    2763378 |     646758 |     676613 |     626477 |     762384 |     789507
    num cache misses                 |      40486 |      16583 |      16335 |      16797 |      15772 |      15454
    miss rate                        |      1.47% |      2.56% |      2.41% |      2.68% |      2.07% |      1.96%
    mpki                             |       3.62 |       5.51 |       4.92 |       6.00 |       4.25 |       3.87
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      45887 |      16838 |      16554 |      17042 |      16648 |      16210
    num cache misses                 |      33216 |      15074 |      14970 |      15212 |      14221 |      13955
    miss rate                        |     72.39% |     89.52% |     90.43% |     89.26% |     85.42% |     86.09%
    mpki                             |       2.97 |       5.01 |       4.51 |       5.43 |       3.83 |       3.50
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      35686 |      15157 |      15019 |      15286 |      14922 |      14536
    num cache misses                 |      21962 |       5283 |       5317 |       5383 |      10791 |      10269
    miss rate                        |     61.54% |     34.86% |     35.40% |     35.22% |     72.32% |     70.65%
    mpki                             |       1.96 |       1.76 |       1.60 |       1.92 |       2.91 |       2.57
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      10553 |          0 |          0 |          0 |      10479 |          0
  average dram access latency (ns)   |      61.30 |        inf |        inf |        inf |      61.29 |        inf
  average dram queueing delay        |       0.05 |       0.00 |       0.00 |       0.00 |       0.04 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10481 |        206 |        233 |        223 |        115 |        113
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1628 |       1616 |       1582 |       1642 |       2613 |       2419
