                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |     84.94% |     44.80% |     44.98% |     44.98% |     45.06% |     45.07% |     45.08% |     47.31% |     45.03% |     44.97% |     44.87% |     45.02% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      75.48 |      47.77 |      33.47 |      25.71 |      11.92 |      10.77 |       9.82 |       9.06 |      20.89 |      17.56 |      15.12 |      13.35 |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   39271015 |    4996125 |    5039790 |    5036850 |    5088349 |    5059706 |    5065174 |    5031680 |    5086664 |    5039461 |    5013405 |    5054918 |          0 |          0 |          0 |          0
    num cache misses                 |   36266057 |    2701966 |    2728580 |    2726012 |    2773081 |    2773591 |    2774549 |    2760817 |    2738836 |    2726453 |    2711740 |    2735155 |          0 |          0 |          0 |          0
    miss rate                        |     92.35% |     54.08% |     54.14% |     54.12% |     54.50% |     54.82% |     54.78% |     54.87% |     53.84% |     54.10% |     54.09% |     54.11% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      73.58 |      46.45 |      32.74 |      25.12 |      11.83 |      10.69 |       9.75 |       8.96 |      20.49 |      17.16 |      14.74 |      13.08 |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   38336229 |    4919127 |    4978445 |    4973032 |    5067156 |    5038241 |    5044484 |    5000473 |    5032391 |    4976564 |    4942111 |    4998060 |          0 |          0 |          0 |          0
    num cache misses                 |   29894217 |    2216478 |    2249280 |    2246770 |    2294100 |    2264625 |    2269918 |    2239730 |    2293360 |    2249646 |    2229699 |    2262783 |          0 |          0 |          0 |          0
    miss rate                        |     77.98% |     45.06% |     45.18% |     45.18% |     45.27% |     44.95% |     45.00% |     44.79% |     45.57% |     45.20% |     45.12% |     45.27% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      60.65 |      38.10 |      26.99 |      20.71 |       9.79 |       8.73 |       7.97 |       7.27 |      17.16 |      14.16 |      12.12 |      10.82 |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   80011937 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |        434 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     140.56 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      62.06 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      79.31 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.81 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     38.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |   28842261 |    2216427 |    2249228 |    2015292 |    1988806 |    2176199 |    2262301 |    2238885 |    1936384 |    2166330 |    2221943 |    2027180 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         19 |          2 |          5 |     231406 |     305198 |      88322 |       7502 |        692 |     356906 |      83239 |       7685 |     235498 |          0 |          0 |          0 |          0
