                                     | Core 0     | Core 1    
  Instructions                       |   24834188 |    5972191
  Cycles                             |   20246000 |   20246000
  IPC                                |       1.23 |       0.29
  Time (ns)                          |    5061500 |    5061500
  Idle time (ns)                     |       1240 |    3470155
  Idle time (%)                      |       0.0% |      68.6%
Branch predictor stats               |            |           
  num correct                        |    3120545 |    1361589
  num incorrect                      |     203903 |      67270
  misprediction rate                 |      6.13% |      4.71%
  mpki                               |       8.21 |      11.26
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3167041 |     571178
    num misses                       |        169 |         26
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6199750 |    1851506
    num misses                       |       4454 |       2953
    miss rate                        |      0.07% |      0.16%
    mpki                             |       0.18 |       0.49
  L2 TLB                             |            |           
    num accesses                     |       4623 |       2979
    num misses                       |        682 |        263
    miss rate                        |     14.75% |      8.83%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3167041 |     571178
    num cache misses                 |       2812 |        199
    miss rate                        |      0.09% |      0.03%
    mpki                             |       0.11 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |    6199750 |    1851506
    num cache misses                 |     100169 |      74905
    miss rate                        |      1.62% |      4.05%
    mpki                             |       4.03 |      12.54
  Cache L2                           |            |           
    num cache accesses               |     106040 |      78235
    num cache misses                 |      71861 |      56318
    miss rate                        |     67.77% |     71.99%
    mpki                             |       2.89 |       9.43
  Cache L3                           |            |           
    num cache accesses               |      75065 |      59497
    num cache misses                 |      70391 |      56283
    miss rate                        |     93.77% |     94.60%
    mpki                             |       2.83 |       9.42
DRAM summary                         |            |           
  num dram accesses                  |      12495 |      12460
  average dram access latency (ns)   |      61.38 |      61.36
  average dram queueing delay        |       0.13 |       0.11
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10183 |         17
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       1145 |       3806
