                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   43224551 |    5162543 |    4769128 |    5017802 |    4066150 |    3987913 |    3937758 |    4902418 |    6386400 |    5916759 |    5948383 |    6395785
  Cycles                             |  120156800 |  120156800 |  120156800 |  120156800 |   30039200 |   30039200 |   30039200 |   30039200 |  120156800 |  120156800 |  120156800 |  120156800
  IPC                                |       0.36 |       0.04 |       0.04 |       0.04 |       0.14 |       0.13 |       0.13 |       0.16 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |   30039200 |   30039200 |   30039200 |   30039200 |   30039200 |   30039200 |   30039200 |   30039200 |   30039200 |   30039200 |   30039200 |   30039200
  Idle time (ns)                     |       1317 |   27014721 |   26937028 |   26937114 |   26907106 |   26907313 |   26908631 |   26907928 |   26938260 |   26938342 |   26938887 |   26979737
  Idle time (%)                      |       0.0% |      89.9% |      89.7% |      89.7% |      89.6% |      89.6% |      89.6% |      89.6% |      89.7% |      89.7% |      89.7% |      89.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4529952 |    1571082 |    1390374 |    1495201 |    1111884 |    1077268 |    1052200 |    1459639 |    1961621 |    1766487 |    1781185 |    1977714
  num incorrect                      |     344958 |      11612 |      19608 |      16530 |      28483 |      29334 |      30088 |      16020 |      14850 |      20914 |      20998 |      12969
  misprediction rate                 |      7.08% |      0.73% |      1.39% |      1.09% |      2.50% |      2.65% |      2.78% |      1.09% |      0.75% |      1.17% |      1.17% |      0.65%
  mpki                               |       7.98 |       2.25 |       4.11 |       3.29 |       7.00 |       7.36 |       7.64 |       3.27 |       2.33 |       3.53 |       3.53 |       2.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5785964 |     125814 |     182077 |     155477 |     221046 |     228262 |     243954 |     152588 |     145175 |     189853 |     180745 |     131050
    num misses                       |        173 |         28 |         26 |         26 |         26 |         26 |         26 |         26 |         28 |         26 |         26 |         26
    miss rate                        |      0.00% |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.01% |      0.01% |      0.02%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
