                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   26186134 |    8297780 |    8177905 |    7329496
  Cycles                             |   17624600 |   17624600 |   17624600 |   17624600
  IPC                                |       1.49 |       0.47 |       0.46 |       0.42
  Time (ns)                          |   17624600 |   17624600 |   17624600 |   17624600
  Idle time (ns)                     |      87719 |   12437773 |   12327834 |   12208994
  Idle time (%)                      |       0.5% |      70.6% |      69.9% |      69.3%
Branch predictor stats               |            |            |            |           
  num correct                        |    3245916 |    2406323 |    2342759 |    1907116
  num incorrect                      |     185743 |      25294 |      27836 |      45802
  misprediction rate                 |      5.41% |      1.04% |      1.17% |      2.35%
  mpki                               |       7.09 |       3.05 |       3.40 |       6.25
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    3259033 |     158952 |     167510 |     242965
    num misses                       |        173 |         24 |         24 |         26
    miss rate                        |      0.01% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    6197395 |    1802508 |    1796088 |    1738565
    num misses                       |       9247 |       7922 |       8249 |       7908
    miss rate                        |      0.15% |      0.44% |      0.46% |      0.45%
    mpki                             |       0.35 |       0.95 |       1.01 |       1.08
  L2 TLB                             |            |            |            |           
    num accesses                     |       9420 |       7946 |       8273 |       7934
    num misses                       |        836 |        321 |        322 |        339
    miss rate                        |      8.87% |      4.04% |      3.89% |      4.27%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.05
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    3259033 |     158952 |     167510 |     242965
    num cache misses                 |       3696 |        222 |        228 |        251
    miss rate                        |      0.11% |      0.14% |      0.14% |      0.10%
    mpki                             |       0.14 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    6197395 |    1802508 |    1796088 |    1738565
    num cache misses                 |      85851 |      50382 |      50789 |      52862
    miss rate                        |      1.39% |      2.80% |      2.83% |      3.04%
    mpki                             |       3.28 |       6.07 |       6.21 |       7.21
  Cache L2                           |            |            |            |           
    num cache accesses               |      91541 |      50605 |      51026 |      53117
    num cache misses                 |      73999 |      44384 |      44821 |      45769
    miss rate                        |     80.84% |     87.71% |     87.84% |     86.17%
    mpki                             |       2.83 |       5.35 |       5.48 |       6.24
  Cache L3                           |            |            |            |           
    num cache accesses               |      76156 |      44415 |      44862 |      45808
    num cache misses                 |      24516 |       3661 |       3707 |       4050
    miss rate                        |     32.19% |      8.24% |      8.26% |      8.84%
    mpki                             |       0.94 |       0.44 |       0.45 |       0.55
DRAM summary                         |            |            |            |           
  num dram accesses                  |      35852 |          0 |          0 |          0
  average dram access latency (ns)   |      61.36 |        inf |        inf |        inf
  average dram queueing delay        |       0.11 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      12090 |       1890 |       1902 |       2009
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
