                                     | Core 0     | Core 1    
  Instructions                       |   28875613 |    9672042
  Cycles                             |   21840000 |   21840000
  IPC                                |       1.32 |       0.44
  Time (ns)                          |    5460000 |    5460000
  Idle time (ns)                     |      62682 |    3466953
  Idle time (%)                      |       1.1% |      63.5%
Branch predictor stats               |            |           
  num correct                        |    3790165 |    2307772
  num incorrect                      |     210303 |      73947
  misprediction rate                 |      5.26% |      3.10%
  mpki                               |       7.28 |       7.65
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3417376 |     400966
    num misses                       |        176 |         26
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    7060597 |    2561482
    num misses                       |      17312 |      15758
    miss rate                        |      0.25% |      0.62%
    mpki                             |       0.60 |       1.63
  L2 TLB                             |            |           
    num accesses                     |      17488 |      15784
    num misses                       |        910 |        409
    miss rate                        |      5.20% |      2.59%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3417376 |     400966
    num cache misses                 |       3253 |        238
    miss rate                        |      0.10% |      0.06%
    mpki                             |       0.11 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |    7060597 |    2561482
    num cache misses                 |     113838 |      81486
    miss rate                        |      1.61% |      3.18%
    mpki                             |       3.94 |       8.42
  Cache L2                           |            |           
    num cache accesses               |     119110 |      81725
    num cache misses                 |      76361 |      60198
    miss rate                        |     64.11% |     73.66%
    mpki                             |       2.64 |       6.22
  Cache L3                           |            |           
    num cache accesses               |      80453 |      60275
    num cache misses                 |      27984 |       7649
    miss rate                        |     34.78% |     12.69%
    mpki                             |       0.97 |       0.79
DRAM summary                         |            |           
  num dram accesses                  |      35607 |          0
  average dram access latency (ns)   |      61.77 |        inf
  average dram queueing delay        |       0.52 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      13235 |       3547
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
