                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |    9653901 |    4394728 |  340125378 |   84314375 |  199324991 |  194587839 |  711683093 |  733551154 |    4543031
  Cycles                             |  625043670 |  625043670 |  625043670 |  625043670 |  474171060 |  474171060 |  474171060 |  474171060 |  625043670
  IPC                                |       0.02 |       0.01 |       0.54 |       0.13 |       0.42 |       0.41 |       1.50 |       1.55 |       0.01
  Time (ns)                          |  215532300 |  215532300 |  215532300 |  215532300 |  215532300 |  215532300 |  215532300 |  215532300 |  215532300
  Idle time (ns)                     |  212574240 |  213420464 |   14520188 |  165715073 |  180620318 |  181427025 |    9009320 |    6566049 |  213984247
  Idle time (%)                      |      98.6% |      99.0% |       6.7% |      76.9% |      83.8% |      84.2% |       4.2% |       3.0% |      99.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1275534 |     172922 |   17107691 |    4237269 |     300301 |     303301 |   85735941 |   87017709 |     463669
  num incorrect                      |       7582 |        731 |       3471 |        899 |       5115 |       5017 |    4099935 |    3993937 |       7966
  misprediction rate                 |      0.59% |      0.42% |      0.02% |      0.02% |      1.67% |      1.63% |      4.56% |      4.39% |      1.69%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.03 |       0.03 |       5.76 |       5.44 |       1.75
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    1524594 |     430466 |   25709375 |    6367489 |   11211577 |   10960551 |   81298267 |   83557639 |     615287
    num misses                       |        115 |         35 |         35 |         32 |         37 |         39 |         40 |         47 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    4811990 |    3838134 |  229316214 |   56848757 |   46593901 |   45553265 |  342977048 |  360468113 |    2490026
    num misses                       |      12181 |       5331 |       2255 |        583 |       4348 |       4357 |      40929 |      42744 |       3340
    miss rate                        |      0.25% |      0.14% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.13%
    mpki                             |       1.26 |       1.21 |       0.01 |       0.01 |       0.02 |       0.02 |       0.06 |       0.06 |       0.74
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |      12296 |       5366 |       2290 |        615 |       4385 |       4396 |      40969 |      42791 |       3381
    num misses                       |       3301 |       5324 |       2281 |        614 |       3394 |       3312 |       3526 |       3745 |       2016
    miss rate                        |     26.85% |     99.22% |     99.61% |     99.84% |     77.40% |     75.34% |      8.61% |      8.75% |     59.63%
    mpki                             |       0.34 |       1.21 |       0.01 |       0.01 |       0.02 |       0.02 |       0.00 |       0.01 |       0.44
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1524594 |     430466 |   25709375 |    6367489 |   11211577 |   10960551 |   81298267 |   83557639 |     615287
    num cache misses                 |       1858 |        459 |        959 |        402 |       3548 |       4258 |      45497 |      45581 |        355
    miss rate                        |      0.12% |      0.11% |      0.00% |      0.01% |      0.03% |      0.04% |      0.06% |      0.05% |      0.06%
    mpki                             |       0.19 |       0.10 |       0.00 |       0.00 |       0.02 |       0.02 |       0.06 |       0.06 |       0.08
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4811990 |    3838134 |  229316214 |   56848757 |   46593901 |   45553265 |  342977048 |  360468113 |    2490026
    num cache misses                 |     169184 |     334387 |     144476 |      35826 |      95969 |      94204 |    6394945 |    6701456 |      21920
    miss rate                        |      3.52% |      8.71% |      0.06% |      0.06% |      0.21% |      0.21% |      1.86% |      1.86% |      0.88%
    mpki                             |      17.52 |      76.09 |       0.42 |       0.42 |       0.48 |       0.48 |       8.99 |       9.14 |       4.82
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     235896 |     372679 |     146373 |      36432 |     100958 |      99935 |    6443313 |    6749708 |      30479
    num cache misses                 |     158833 |     333508 |     143589 |      35884 |      98379 |      96671 |     193072 |     210141 |      16707
    miss rate                        |     67.33% |     89.49% |     98.10% |     98.50% |     97.45% |     96.73% |      3.00% |      3.11% |     54.81%
    mpki                             |      16.45 |      75.89 |       0.42 |       0.43 |       0.49 |       0.50 |       0.27 |       0.29 |       3.68
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     223691 |     371342 |     144613 |      36092 |      99821 |      98144 |     196058 |     212877 |      24911
    num cache misses                 |     155462 |     332923 |     138931 |      34345 |       6501 |       6321 |      79778 |      91860 |      16700
    miss rate                        |     69.50% |     89.65% |     96.07% |     95.16% |      6.51% |      6.44% |     40.69% |     43.15% |     67.04%
    mpki                             |      16.10 |      75.76 |       0.41 |       0.41 |       0.03 |       0.03 |       0.11 |       0.13 |       3.68
