spec,n,acc_posm,acc_rf,acc_svm,r_posm,r_rf,r_svm
2,13,0.07692307692307693,0.6923076923076923,0.6923076923076923,1.0095793941529458,1.0088963511410123,1.0088963511410123
4,13,0.07692307692307693,0.9230769230769231,0.9230769230769231,1.0079140728930631,1.0202805438341698,1.0202805438341698
8,13,0.15384615384615385,1.0,1.0,1.0003606858367897,1.0004822957129764,1.0004822957129764
16,13,0.0,0.9230769230769231,0.8461538461538461,1.0108354932172248,1.0020166299095175,1.0036318836168656
ALLTH,52,0.07692307692307693,0.8846153846153846,0.8846153846153846,1.0071724115250058,1.0192189476287916,1.0210358371646562
