                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
    miss rate                        |     62.41% |     38.72% |     38.43% |     38.92% |     39.23% |     38.71% |     38.69% |     39.60% |     41.21% |     39.06% |     39.41% |     39.12%
    mpki                             |      48.42 |      29.31 |      22.47 |      17.70 |      15.06 |      12.89 |      11.21 |      10.38 |       9.99 |       8.30 |       7.53 |       6.90
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   14571344 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   14482072 |          0 |          0 |          0
  average dram access latency (ns)   |      62.41 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      62.47 |        inf |        inf |        inf
  average dram queueing delay        |       1.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.22 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     18.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     18.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |   10740113 |     821449 |     849634 |     842346 |     864220 |     822776 |     708545 |     610192 |     583380 |     645735 |     760635 |     844991
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     196593 |          5 |          5 |          9 |          6 |      42886 |     153794 |     290182 |     381225 |     236022 |     113102 |       9446
