                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5     
  Instructions                       |  5040812881 |  5039418880 |  4911304931 |  4902854590 |  4870161229 |  4869863453
  Cycles                             |  6969152800 |  6969152800 |  6969152800 |  6969152800 |  1742288200 |  1742288200
  IPC                                |        0.72 |        0.72 |        0.70 |        0.70 |        2.80 |        2.80
  Time (ns)                          |  1742288200 |  1742288200 |  1742288200 |  1742288200 |  1742288200 |  1742288200
  Idle time (ns)                     |    34925183 |    36122901 |    81716505 |    82040896 |    31162849 |    34621911
  Idle time (%)                      |        2.0% |        2.1% |        4.7% |        4.7% |        1.8% |        2.0%
Branch predictor stats               |             |             |             |             |             |            
  num correct                        |   260762874 |   260453941 |   264550603 |   261733460 |   259900075 |   259800795
  num incorrect                      |     1648216 |     1640374 |     1590398 |     1590402 |     1577152 |     1577146
  misprediction rate                 |       0.63% |       0.63% |       0.60% |       0.60% |       0.60% |       0.60%
  mpki                               |        0.33 |        0.33 |        0.32 |        0.32 |        0.32 |        0.32
TLB Summary                          |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |            
    num accesses                     |   598450129 |   598334310 |   578540353 |   578540620 |   574752586 |   574752588
    num misses                       |         193 |          25 |          25 |          25 |          25 |          25
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |            
    num accesses                     |  1614862730 |  1614394837 |  1568461973 |  1567054174 |  1556168828 |  1556119247
    num misses                       |     2525587 |     2523876 |     2487280 |     2493408 |     2461612 |     2498922
    miss rate                        |       0.16% |       0.16% |       0.16% |       0.16% |       0.16% |       0.16%
    mpki                             |        0.50 |        0.50 |        0.51 |        0.51 |        0.51 |        0.51
  L2 TLB                             |             |             |             |             |             |            
    num accesses                     |     2525780 |     2523901 |     2487305 |     2493433 |     2461637 |     2498947
    num misses                       |      519597 |      507261 |      515053 |      521695 |      503817 |      508956
    miss rate                        |      20.57% |      20.10% |      20.71% |      20.92% |      20.47% |      20.37%
    mpki                             |        0.10 |        0.10 |        0.10 |        0.11 |        0.10 |        0.10
Cache Summary                        |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |            
    num cache accesses               |   598450129 |   598334310 |   578540353 |   578540620 |   574752586 |   574752588
    num cache misses                 |      155328 |      145125 |      141309 |      139651 |      560176 |      547435
    miss rate                        |       0.03% |       0.02% |       0.02% |       0.02% |       0.10% |       0.10%
    mpki                             |        0.03 |        0.03 |        0.03 |        0.03 |        0.12 |        0.11
  Cache L1-D                         |             |             |             |             |             |            
    num cache accesses               |  1614862730 |  1614394837 |  1568461973 |  1567054174 |  1556168828 |  1556119247
    num cache misses                 |   203965726 |   203898866 |   197307487 |   197307741 |   195989040 |   195974792
    miss rate                        |      12.63% |      12.63% |      12.58% |      12.59% |      12.59% |      12.59%
    mpki                             |       40.46 |       40.46 |       40.17 |       40.24 |       40.24 |       40.24
  Cache L2                           |             |             |             |             |             |            
    num cache accesses               |   206296725 |   206217124 |   199523447 |   199521893 |   198622500 |   198595776
    num cache misses                 |    24955962 |    24927844 |    24208717 |    24180150 |    51087796 |    51208326
    miss rate                        |      12.10% |      12.09% |      12.13% |      12.12% |      25.72% |      25.79%
    mpki                             |        4.95 |        4.95 |        4.93 |        4.93 |       10.49 |       10.52
  Cache L3                           |             |             |             |             |             |            
    num cache accesses               |    34020126 |    34161156 |    32986685 |    32974061 |    53399814 |    53514920
    num cache misses                 |    20088020 |    20045558 |    19438436 |    19375781 |    16747431 |    16817570
    miss rate                        |      59.05% |      58.68% |      58.93% |      58.76% |      31.36% |      31.43%
    mpki                             |        3.99 |        3.98 |        3.96 |        3.95 |        3.44 |        3.45
DRAM summary                         |             |             |             |             |             |            
  num dram accesses                  |   214401901 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |     4484.83 |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |     4423.58 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      15.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |            
  num loads from dram                |    13071971 |    13232702 |    12747414 |    12739855 |    11786442 |    11788228
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0
