                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5651153 |    5796053 |    5764576 |    5614201 |    5874189 |    5817328 |    5810283 |    5706294
  Cycles                             |    3984020 |    3984020 |    3984020 |    3984020 |    3984020 |    3984020 |    3984020 |    3984020
  IPC                                |       1.42 |       1.45 |       1.45 |       1.41 |       1.47 |       1.46 |       1.46 |       1.43
  Time (ns)                          |    1373800 |    1373800 |    1373800 |    1373800 |    1373800 |    1373800 |    1373800 |    1373800
  Idle time (ns)                     |        392 |     356052 |     358072 |     358624 |     359166 |     359707 |     360248 |     360790
  Idle time (%)                      |       0.0% |      25.9% |      26.1% |      26.1% |      26.1% |      26.2% |      26.2% |      26.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     435941 |     681208 |     679035 |     636688 |     718412 |     704845 |     702992 |     673699
  num incorrect                      |      21709 |       5032 |       4863 |       5118 |       4726 |       4677 |       4683 |       4699
  misprediction rate                 |      4.74% |      0.73% |      0.71% |      0.80% |      0.65% |      0.66% |      0.66% |      0.69%
  mpki                               |       3.84 |       0.87 |       0.84 |       0.91 |       0.80 |       0.80 |       0.81 |       0.82
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     622878 |     467354 |     461989 |     461942 |     458429 |     458051 |     458104 |     457727
    num misses                       |        275 |         29 |         29 |         29 |         29 |         28 |         30 |         30
    miss rate                        |      0.04% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.05 |       0.01 |       0.01 |       0.01 |       0.00 |       0.00 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2900932 |    2473503 |    2456921 |    2435216 |    2459826 |    2448108 |    2447435 |    2431030
    num misses                       |       2937 |        402 |        349 |        396 |        405 |        363 |        410 |        243
    miss rate                        |      0.10% |      0.02% |      0.01% |      0.02% |      0.02% |      0.01% |      0.02% |      0.01%
    mpki                             |       0.52 |       0.07 |       0.06 |       0.07 |       0.07 |       0.06 |       0.07 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       3212 |        431 |        378 |        425 |        434 |        391 |        440 |        273
    num misses                       |        583 |        159 |        153 |        155 |        160 |        152 |        153 |        140
    miss rate                        |     18.15% |     36.89% |     40.48% |     36.47% |     36.87% |     38.87% |     34.77% |     51.28%
    mpki                             |       0.10 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     622878 |     467354 |     461989 |     461942 |     458429 |     458051 |     458104 |     457727
    num cache misses                 |       7269 |        395 |        384 |        386 |        385 |        380 |        378 |        385
    miss rate                        |      1.17% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08%
    mpki                             |       1.29 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2900932 |    2473503 |    2456921 |    2435216 |    2459826 |    2448108 |    2447435 |    2431030
    num cache misses                 |      65604 |      51497 |      50549 |      50254 |      50443 |      49879 |      49586 |      49354
    miss rate                        |      2.26% |      2.08% |      2.06% |      2.06% |      2.05% |      2.04% |      2.03% |      2.03%
    mpki                             |      11.61 |       8.88 |       8.77 |       8.95 |       8.59 |       8.57 |       8.53 |       8.65
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      80461 |      55638 |      53841 |      53607 |      54761 |      53224 |      52909 |      51119
    num cache misses                 |      20713 |      12957 |      14207 |      15168 |      14133 |      13953 |      13603 |      13611
    miss rate                        |     25.74% |     23.29% |     26.39% |     28.29% |     25.81% |     26.22% |     25.71% |     26.63%
    mpki                             |       3.67 |       2.24 |       2.46 |       2.70 |       2.41 |       2.40 |       2.34 |       2.39
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      32376 |      20775 |      20612 |      21660 |      21603 |      20390 |      20079 |      18870
    num cache misses                 |      15038 |       3876 |       3410 |       6863 |       9822 |       4793 |       4547 |       6181
    miss rate                        |     46.45% |     18.66% |     16.54% |     31.69% |     45.47% |     23.51% |     22.65% |     32.76%
    mpki                             |       2.66 |       0.67 |       0.59 |       1.22 |       1.67 |       0.82 |       0.78 |       1.08
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      13456 |          0 |          0 |          0 |      13356 |          0 |          0 |          0
  average dram access latency (ns)   |     304.24 |        inf |        inf |        inf |     307.62 |        inf |        inf |        inf
  average dram queueing delay        |     242.99 |       0.00 |       0.00 |       0.00 |     246.37 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       5306 |        123 |        107 |         88 |         74 |         97 |         91 |         66
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1676 |        862 |        820 |       3916 |       6726 |       2269 |       2048 |       3583
