                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4     | Core 5     | Core 6     | Core 7     | Core 8      | Core 9      | Core 10     | Core 11     | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |    10644534 |    10611909 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    miss rate                        |      59.89% |      60.00% |        inf% |        inf% |       inf% |       inf% |       inf% |       inf% |        inf% |        inf% |        inf% |        inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       11.48 |       11.26 |         inf |         inf |        inf |        inf |        inf |        inf |         inf |         inf |         inf |         inf |        inf |        inf |        inf |        inf
  Cache L3                           |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
    num cache accesses               |    12150772 |    12092844 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    num cache misses                 |     9886936 |     9816753 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    miss rate                        |      81.37% |      81.18% |        inf% |        inf% |       inf% |       inf% |       inf% |       inf% |        inf% |        inf% |        inf% |        inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       10.66 |       10.41 |         inf |         inf |        inf |        inf |        inf |        inf |         inf |         inf |         inf |         inf |        inf |        inf |        inf |        inf
DRAM summary                         |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
  num dram accesses                  |    28651231 |           0 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     3165.85 |         inf |         inf |         inf |        inf |        inf |        inf |        inf |         inf |         inf |         inf |         inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     3104.60 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |       8.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
  num loads from dram                |     6928784 |     6891355 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
