                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |    4478261 |    4605583 |    4577285 |    4552879 |    4042233 |    3975044 |    3975580 |    4427918 |    3866172 |    4318428 |    3806787 |    4224972
  Cycles                             |    5252060 |    6923170 |    6923170 |    6923170 |    5252060 |    5252060 |    5252060 |    6923170 |    5252060 |    6923170 |    5252060 |    6923170
  IPC                                |       0.85 |       0.67 |       0.66 |       0.66 |       0.77 |       0.76 |       0.76 |       0.64 |       0.74 |       0.62 |       0.72 |       0.61
  Time (ns)                          |    2387300 |    2387300 |    2387300 |    2387300 |    2387300 |    2387300 |    2387300 |    2387300 |    2387300 |    2387300 |    2387300 |    2387300
  Idle time (ns)                     |        226 |     353298 |     356528 |     358270 |     359977 |     361710 |     363416 |     365149 |     366850 |     368587 |     370410 |     372143
  Idle time (%)                      |       0.0% |      14.8% |      14.9% |      15.0% |      15.1% |      15.2% |      15.2% |      15.3% |      15.4% |      15.4% |      15.5% |      15.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     466181 |     594388 |     586574 |     580689 |     439956 |     426463 |     425777 |     550644 |     405168 |     530479 |     391404 |     508126
  num incorrect                      |      11408 |       1043 |       1233 |       1200 |       1191 |       1199 |       1327 |       2078 |       1794 |       2283 |       2172 |       2686
  misprediction rate                 |      2.39% |      0.18% |      0.21% |      0.21% |      0.27% |      0.28% |      0.31% |      0.38% |      0.44% |      0.43% |      0.55% |      0.53%
  mpki                               |       2.55 |       0.23 |       0.27 |       0.26 |       0.29 |       0.30 |       0.33 |       0.47 |       0.46 |       0.53 |       0.57 |       0.64
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     401106 |     327017 |     316623 |     305245 |     293803 |     282626 |     272049 |     262862 |     250094 |     241488 |     229591 |     211481
    num misses                       |        135 |         23 |         23 |         23 |         21 |         23 |         23 |         23 |         23 |         21 |         23 |         21
    miss rate                        |      0.03% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1772071 |    1579739 |    1574426 |    1571039 |    1481520 |    1455175 |    1461191 |    1530880 |    1403693 |    1479545 |    1382874 |    1456289
    num misses                       |       5769 |       4842 |       4829 |       4879 |       4503 |       4657 |       4166 |       4779 |       4715 |       4099 |       4403 |       4327
    miss rate                        |      0.33% |      0.31% |      0.31% |      0.31% |      0.30% |      0.32% |      0.29% |      0.31% |      0.34% |      0.28% |      0.32% |      0.30%
    mpki                             |       1.29 |       1.05 |       1.05 |       1.07 |       1.11 |       1.17 |       1.05 |       1.08 |       1.22 |       0.95 |       1.16 |       1.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5904 |       4865 |       4852 |       4902 |       4524 |       4680 |       4189 |       4802 |       4738 |       4120 |       4426 |       4348
    num misses                       |        585 |        196 |        252 |        193 |        199 |        241 |        194 |        240 |        275 |        201 |        203 |        248
    miss rate                        |      9.91% |      4.03% |      5.19% |      3.94% |      4.40% |      5.15% |      4.63% |      5.00% |      5.80% |      4.88% |      4.59% |      5.70%
    mpki                             |       0.13 |       0.04 |       0.06 |       0.04 |       0.05 |       0.06 |       0.05 |       0.05 |       0.07 |       0.05 |       0.05 |       0.06
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     401106 |     327017 |     316623 |     305245 |     293803 |     282626 |     272049 |     262862 |     250094 |     241488 |     229591 |     211481
    num cache misses                 |       1927 |        137 |        137 |        137 |        132 |        136 |        136 |        136 |        136 |        131 |        136 |        137
    miss rate                        |      0.48% |      0.04% |      0.04% |      0.04% |      0.04% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.06% |      0.06%
    mpki                             |       0.43 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1772071 |    1579739 |    1574426 |    1571039 |    1481520 |    1455175 |    1461191 |    1530880 |    1403693 |    1479545 |    1382874 |    1456289
    num cache misses                 |      65147 |      49965 |      50707 |      51045 |      51935 |      51354 |      50504 |      49858 |      54383 |      50976 |      52589 |      50534
    miss rate                        |      3.68% |      3.16% |      3.22% |      3.25% |      3.51% |      3.53% |      3.46% |      3.26% |      3.87% |      3.45% |      3.80% |      3.47%
    mpki                             |      14.55 |      10.85 |      11.08 |      11.21 |      12.85 |      12.92 |      12.70 |      11.26 |      14.07 |      11.80 |      13.81 |      11.96
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      83970 |      63594 |      65262 |      67681 |      68313 |      67113 |      68417 |      68216 |      74682 |      72637 |      73107 |      73485
    num cache misses                 |      47578 |      38514 |      39687 |      40478 |      40003 |      39980 |      39833 |      41869 |      41519 |      42984 |      41978 |      43006
    miss rate                        |     56.66% |     60.56% |     60.81% |     59.81% |     58.56% |     59.57% |     58.22% |     61.38% |     55.59% |     59.18% |     57.42% |     58.52%
    mpki                             |      10.62 |       8.36 |       8.67 |       8.89 |       9.90 |      10.06 |      10.02 |       9.46 |      10.74 |       9.95 |      11.03 |      10.18
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      66901 |      51788 |      53876 |      56284 |      55910 |      54978 |      56583 |      58651 |      63321 |      64000 |      62216 |      65528
    num cache misses                 |      22870 |      10658 |      10529 |      10654 |      10397 |      10408 |      12077 |      18258 |      25453 |      24005 |      21711 |      29877
    miss rate                        |     34.18% |     20.58% |     19.54% |     18.93% |     18.60% |     18.93% |     21.34% |     31.13% |     40.20% |     37.51% |     34.90% |     45.59%
    mpki                             |       5.11 |       2.31 |       2.30 |       2.34 |       2.57 |       2.62 |       3.04 |       4.12 |       6.58 |       5.56 |       5.70 |       7.07
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       9727 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |       9630 |          0 |          0 |          0
  average dram access latency (ns)   |     237.04 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     239.43 |        inf |        inf |        inf
  average dram queueing delay        |     175.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |     178.18 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       6570 |         21 |         17 |         15 |         15 |         18 |         23 |         22 |         15 |         19 |         15 |         26
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8142 |       8106 |       8178 |       8555 |       8223 |       7895 |       8927 |       9565 |      17661 |      18936 |      16726 |      19817
