                                     | Core 0     | Core 1    
  Instructions                       |   24866840 |    5987684
  Cycles                             |   20551600 |   20551600
  IPC                                |       1.21 |       0.29
  Time (ns)                          |    5137900 |    5137900
  Idle time (ns)                     |       1443 |    3434693
  Idle time (%)                      |       0.0% |      66.9%
Branch predictor stats               |            |           
  num correct                        |    3131632 |    1366086
  num incorrect                      |     200684 |      67132
  misprediction rate                 |      6.02% |      4.68%
  mpki                               |       8.07 |      11.21
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    2907698 |     569499
    num misses                       |        185 |         29
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6206000 |    1854042
    num misses                       |       5047 |       3760
    miss rate                        |      0.08% |      0.20%
    mpki                             |       0.20 |       0.63
  L2 TLB                             |            |           
    num accesses                     |       5232 |       3789
    num misses                       |        720 |        259
    miss rate                        |     13.76% |      6.84%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    2907698 |     569499
    num cache misses                 |       2897 |        219
    miss rate                        |      0.10% |      0.04%
    mpki                             |       0.12 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |    6206000 |    1854042
    num cache misses                 |     100162 |      74812
    miss rate                        |      1.61% |      4.04%
    mpki                             |       4.03 |      12.49
  Cache L2                           |            |           
    num cache accesses               |     105206 |      75032
    num cache misses                 |      72968 |      56238
    miss rate                        |     69.36% |     74.95%
    mpki                             |       2.93 |       9.39
  Cache L3                           |            |           
    num cache accesses               |      75235 |      56285
    num cache misses                 |      22653 |       3991
    miss rate                        |     30.11% |      7.09%
    mpki                             |       0.91 |       0.67
DRAM summary                         |            |           
  num dram accesses                  |      26624 |          0
  average dram access latency (ns)   |      61.87 |        inf
  average dram queueing delay        |       0.62 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11916 |       1781
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
