                                     | Core 0      | Core 1     
  Instructions                       |  3938536475 |   897399678
  Cycles                             |  3816654040 |  3816654040
  IPC                                |        1.03 |        0.24
  Time (ns)                          |  1316087600 |  1316087600
  Idle time (ns)                     |   258391286 |  1057718516
  Idle time (%)                      |       19.6% |       80.4%
Branch predictor stats               |             |            
  num correct                        |   169510659 |    17365042
  num incorrect                      |     6165569 |      586449
  misprediction rate                 |       3.51% |       3.27%
  mpki                               |        1.57 |        0.65
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   773979120 |   138992082
    num misses                       |         201 |          47
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |  2331207681 |   567306776
    num misses                       |    13232875 |     5926317
    miss rate                        |       0.57% |       1.04%
    mpki                             |        3.36 |        6.60
  L2 TLB                             |             |            
    num accesses                     |    13233076 |     5926364
    num misses                       |     6422814 |     3087096
    miss rate                        |      48.54% |      52.09%
    mpki                             |        1.63 |        3.44
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   773979120 |   138992082
    num cache misses                 |     2653692 |       19321
    miss rate                        |       0.34% |       0.01%
    mpki                             |        0.67 |        0.02
  Cache L1-D                         |             |            
    num cache accesses               |  2331207681 |   567306776
    num cache misses                 |    20549641 |     5713308
    miss rate                        |       0.88% |       1.01%
    mpki                             |        5.22 |        6.37
  Cache L2                           |             |            
    num cache accesses               |    24422117 |     5733230
    num cache misses                 |    12691375 |     4123801
    miss rate                        |      51.97% |      71.93%
    mpki                             |        3.22 |        4.60
  Cache L3                           |             |            
    num cache accesses               |    13910970 |     4124402
    num cache misses                 |     4216969 |      900991
    miss rate                        |      30.31% |      21.85%
    mpki                             |        1.07 |        1.00
DRAM summary                         |             |            
  num dram accesses                  |     3625572 |     3623934
  average dram access latency (ns)   |       61.26 |       61.26
  average dram queueing delay        |        0.01 |        0.01
  average dram bandwidth utilization |       0.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |     3348726 |      706969
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |      141512 |       60788
