                                     | Core 0      | Core 1     
  Instructions                       |  9227706909 |  9215483677
  Cycles                             |  2995410870 |  2995410870
  IPC                                |        3.08 |        3.08
  Time (ns)                          |  1032900300 |  1032900300
  Idle time (ns)                     |         368 |      257341
  Idle time (%)                      |        0.0% |        0.0%
Branch predictor stats               |             |            
  num correct                        |    43619932 |    39899853
  num incorrect                      |      149039 |      138176
  misprediction rate                 |       0.34% |       0.35%
  mpki                               |        0.02 |        0.01
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   867707383 |   867446164
    num misses                       |         267 |          38
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |  4242735205 |  4240130983
    num misses                       |     5324660 |     5188868
    miss rate                        |       0.13% |       0.12%
    mpki                             |        0.58 |        0.56
  L2 TLB                             |             |            
    num accesses                     |     5324927 |     5188906
    num misses                       |      132682 |      125726
    miss rate                        |       2.49% |       2.42%
    mpki                             |        0.01 |        0.01
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   867707383 |   867446164
    num cache misses                 |      268118 |      206484
    miss rate                        |       0.03% |       0.02%
    mpki                             |        0.03 |        0.02
  Cache L1-D                         |             |            
    num cache accesses               |  4242735205 |  4240130983
    num cache misses                 |    28873347 |    29166599
    miss rate                        |       0.68% |       0.69%
    mpki                             |        3.13 |        3.16
  Cache L2                           |             |            
    num cache accesses               |    29632746 |    29851152
    num cache misses                 |     2944075 |     3093390
    miss rate                        |       9.94% |      10.36%
    mpki                             |        0.32 |        0.34
  Cache L3                           |             |            
    num cache accesses               |     3999565 |     4159498
    num cache misses                 |       30868 |       19694
    miss rate                        |       0.77% |       0.47%
    mpki                             |        0.00 |        0.00
DRAM summary                         |             |            
  num dram accesses                  |       50528 |           0
  average dram access latency (ns)   |       64.00 |         inf
  average dram queueing delay        |        2.75 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |        7025 |         512
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
