                                     | Core 0     | Core 1    
  Instructions                       |   24783200 |    5918175
  Cycles                             |   18091700 |   18091700
  IPC                                |       1.37 |       0.33
  Time (ns)                          |   18091700 |   18091700
  Idle time (ns)                     |       1735 |   12002977
  Idle time (%)                      |       0.0% |      66.3%
Branch predictor stats               |            |           
  num correct                        |    3108023 |    1343598
  num incorrect                      |     199367 |      66740
  misprediction rate                 |      6.03% |      4.73%
  mpki                               |       8.04 |      11.28
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3438832 |     230464
    num misses                       |        180 |         26
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6194638 |    1841189
    num misses                       |       5611 |       4309
    miss rate                        |      0.09% |      0.23%
    mpki                             |       0.23 |       0.73
  L2 TLB                             |            |           
    num accesses                     |       5791 |       4335
    num misses                       |        698 |        253
    miss rate                        |     12.05% |      5.84%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3438832 |     230464
    num cache misses                 |       3707 |        317
    miss rate                        |      0.11% |      0.14%
    mpki                             |       0.15 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    6194638 |    1841189
    num cache misses                 |     100360 |      74736
    miss rate                        |      1.62% |      4.06%
    mpki                             |       4.05 |      12.63
  Cache L2                           |            |           
    num cache accesses               |     106060 |      75060
    num cache misses                 |      78386 |      58156
    miss rate                        |     73.91% |     77.48%
    mpki                             |       3.16 |       9.83
  Cache L3                           |            |           
    num cache accesses               |      80482 |      58201
    num cache misses                 |      22557 |       4079
    miss rate                        |     28.03% |      7.01%
    mpki                             |       0.91 |       0.69
DRAM summary                         |            |           
  num dram accesses                  |      26619 |          0
  average dram access latency (ns)   |      61.33 |        inf
  average dram queueing delay        |       0.07 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11907 |       2025
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
