                                     | Core 0     | Core 1    
  Instructions                       |   18722030 |   18164361
  Cycles                             |   20455440 |   20455440
  IPC                                |       0.92 |       0.89
  Time (ns)                          |    7053600 |    7053600
  Idle time (ns)                     |         71 |     269078
  Idle time (%)                      |       0.0% |       3.8%
Branch predictor stats               |            |           
  num correct                        |    1491408 |    1424650
  num incorrect                      |      18877 |       8795
  misprediction rate                 |      1.25% |      0.61%
  mpki                               |       1.01 |       0.48
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1223263 |    1142210
    num misses                       |        133 |         23
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6972113 |    6660986
    num misses                       |      29123 |      23693
    miss rate                        |      0.42% |      0.36%
    mpki                             |       1.56 |       1.30
  L2 TLB                             |            |           
    num accesses                     |      29256 |      23716
    num misses                       |        602 |        326
    miss rate                        |      2.06% |      1.37%
    mpki                             |       0.03 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1223263 |    1142210
    num cache misses                 |       1859 |        142
    miss rate                        |      0.15% |      0.01%
    mpki                             |       0.10 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |    6972113 |    6660986
    num cache misses                 |     156079 |     143882
    miss rate                        |      2.24% |      2.16%
    mpki                             |       8.34 |       7.92
  Cache L2                           |            |           
    num cache accesses               |     183678 |     167985
    num cache misses                 |      63704 |      53379
    miss rate                        |     34.68% |     31.78%
    mpki                             |       3.40 |       2.94
  Cache L3                           |            |           
    num cache accesses               |     100166 |      88965
    num cache misses                 |      13664 |       4305
    miss rate                        |     13.64% |      4.84%
    mpki                             |       0.73 |       0.24
DRAM summary                         |            |           
  num dram accesses                  |      17968 |          0
  average dram access latency (ns)   |     311.94 |        inf
  average dram queueing delay        |     250.69 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6616 |         95
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
