                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   30491214 |   30925306 |   30945548 |   30791783 |   30807715 |   30734292 |   30779927 |   30527549 |   30399937 |   29951137 |   29852625 |   30349167
  Cycles                             |   19744000 |   19744000 |   19744000 |   19744000 |   14808000 |   14808000 |   14808000 |   19744000 |   14808000 |   19744000 |   19744000 |   19744000
  IPC                                |       1.54 |       1.57 |       1.57 |       1.56 |       2.08 |       2.08 |       2.08 |       1.55 |       2.05 |       1.52 |       1.51 |       1.54
  Time (ns)                          |    4936000 |    4936000 |    4936000 |    4936000 |    4936000 |    4936000 |    4936000 |    4936000 |    4936000 |    4936000 |    4936000 |    4936000
  Idle time (ns)                     |     189626 |     421650 |     385620 |     351693 |     325343 |     293930 |     268834 |     269034 |     269127 |     269269 |     269444 |     270553
  Idle time (%)                      |       3.8% |       8.5% |       7.8% |       7.1% |       6.6% |       6.0% |       5.4% |       5.5% |       5.5% |       5.5% |       5.5% |       5.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    5346011 |    5805234 |    5612896 |    5651452 |    5809169 |    5700417 |    5748498 |    5585510 |    5509623 |    5323821 |    5217274 |    5597325
  num incorrect                      |      30753 |      21598 |      22940 |      24511 |      24504 |      25343 |      25343 |      25719 |      25650 |      25364 |      25046 |      22676
  misprediction rate                 |      0.57% |      0.37% |      0.41% |      0.43% |      0.42% |      0.44% |      0.44% |      0.46% |      0.46% |      0.47% |      0.48% |      0.40%
  mpki                               |       1.01 |       0.70 |       0.74 |       0.80 |       0.80 |       0.82 |       0.82 |       0.84 |       0.84 |       0.85 |       0.84 |       0.75
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1136787 |     958803 |    1021194 |    1001621 |     963961 |    1000493 |     988283 |    1016273 |    1061000 |    1068213 |    1106534 |    1036281
    num misses                       |        223 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27
