                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  243769537 |   39917739 |   54595499 |   69273045 |   83950834 |   98629902 |  113308575 |  125887632
  Cycles                             |  239854070 |  239854070 |  239854070 |  239854070 |  239854070 |  239854070 |  239854070 |  239854070
  IPC                                |       1.02 |       0.17 |       0.23 |       0.29 |       0.35 |       0.41 |       0.47 |       0.52
  Time (ns)                          |   82708300 |   82708300 |   82708300 |   82708300 |   82708300 |   82708300 |   82708300 |   82708300
  Idle time (ns)                     |   15338280 |   73118353 |   71197385 |   69358892 |   67358000 |   64792614 |   62203023 |   60256970
  Idle time (%)                      |      18.5% |      88.4% |      86.1% |      83.9% |      81.4% |      78.3% |      75.2% |      72.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   21646831 |    5412787 |    7509281 |    9605704 |   11702216 |   13799084 |   15895838 |   17392702
  num incorrect                      |       8771 |         90 |         90 |         89 |         89 |         89 |         89 |         87
  misprediction rate                 |      0.04% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   37799502 |        312 |        312 |        316 |        312 |        312 |        312 |        314
    num misses                       |        115 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      5.13% |      5.13% |      5.06% |      5.13% |      5.13% |      5.13% |      5.10%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   25682770 |    6901935 |    6901606 |    6901257 |    6900921 |    6900779 |    6900580 |    6600446
    num misses                       |   18549274 |    2059181 |    2067660 |    2075980 |    2070497 |    2077933 |    2080749 |    2074688
    miss rate                        |     72.22% |     29.83% |     29.96% |     30.08% |     30.00% |     30.11% |     30.15% |     31.43%
    mpki                             |      76.09 |      51.59 |      37.87 |      29.97 |      24.66 |      21.07 |      18.36 |      16.48
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |   18549389 |    2059197 |    2067676 |    2075996 |    2070513 |    2077949 |    2080765 |    2074704
    num misses                       |   17272292 |    1910244 |    1931964 |    1943410 |    1936783 |    1952637 |    1953274 |    1945327
    miss rate                        |     93.12% |     92.77% |     93.44% |     93.61% |     93.54% |     93.97% |     93.87% |     93.76%
    mpki                             |      70.86 |      47.85 |      35.39 |      28.05 |      23.07 |      19.80 |      17.24 |      15.45
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   37799502 |        312 |        312 |        316 |        312 |        312 |        312 |        314
    num cache misses                 |       3550 |         95 |         94 |         94 |         95 |         95 |         95 |         95
    miss rate                        |      0.01% |     30.45% |     30.13% |     29.75% |     30.45% |     30.45% |     30.45% |     30.25%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   25682770 |    6901935 |    6901606 |    6901257 |    6900921 |    6900779 |    6900580 |    6600446
    num cache misses                 |   19206138 |    2069132 |    2084137 |    2089712 |    2088940 |    2093129 |    2092655 |    2089040
    miss rate                        |     74.78% |     29.98% |     30.20% |     30.28% |     30.27% |     30.33% |     30.33% |     31.65%
    mpki                             |      78.79 |      51.83 |      38.17 |      30.17 |      24.88 |      21.22 |      18.47 |      16.59
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |   20376732 |    3325371 |    3372715 |    3434686 |    3485705 |    3410323 |    3401856 |    3381732
    num cache misses                 |   18275115 |    1961512 |    1987862 |    2002407 |    1999324 |    2011170 |    2012438 |    1998458
    miss rate                        |     89.69% |     58.99% |     58.94% |     58.30% |     57.36% |     58.97% |     59.16% |     59.10%
    mpki                             |      74.97 |      49.14 |      36.41 |      28.91 |      23.82 |      20.39 |      17.76 |      15.87
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |   19442163 |    3217656 |    3276345 |    3347286 |    3395994 |    3328269 |    3321544 |    3291055
    num cache misses                 |   11880252 |    1252562 |    1284993 |    1342914 |    1395106 |    1314219 |    1306319 |    1290761
    miss rate                        |     61.11% |     38.93% |     39.22% |     40.12% |     41.08% |     39.49% |     39.33% |     39.22%
    mpki                             |      48.74 |      31.38 |      23.54 |      19.39 |      16.62 |      13.32 |      11.53 |      10.25
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   14275338 |          0 |          0 |          0 |   14199453 |          0 |          0 |          0
  average dram access latency (ns)   |      63.34 |        inf |        inf |        inf |      63.36 |        inf |        inf |        inf
  average dram queueing delay        |       2.09 |       0.00 |       0.00 |       0.00 |       2.11 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     21.00% |      0.00% |      0.00% |      0.00% |     21.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |   11156128 |    1237142 |    1085359 |     910394 |     840988 |    1026298 |    1259105 |    1289445
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     196584 |      15372 |     199604 |     432487 |     554038 |     287877 |      47151 |       1263
