                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |    9653980 |    4410565 |   84316606 |  340123124 |  194799191 |  199113726 |  714383433 |  730826434 |    4593872
  Cycles                             |  461324820 |  608109990 |  608109990 |  461324820 |  608109990 |  461324820 |  608109990 |  608109990 |  608109990
  IPC                                |       0.02 |       0.01 |       0.14 |       0.74 |       0.32 |       0.43 |       1.17 |       1.20 |       0.01
  Time (ns)                          |  209693100 |  209693100 |  209693100 |  209693100 |  209693100 |  209693100 |  209693100 |  209693100 |  209693100
  Idle time (ns)                     |  206027848 |  207581034 |  159941149 |    8662382 |  181237446 |  174791818 |    9464055 |    8026159 |  208267173
  Idle time (%)                      |      98.3% |      99.0% |      76.3% |       4.1% |      86.4% |      83.4% |       4.5% |       3.8% |      99.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1275443 |     175559 |    4237909 |   17108473 |     298488 |     304969 |   85444976 |   87283902 |     466632
  num incorrect                      |       7672 |        730 |        637 |       2345 |       5186 |       5081 |    4102225 |    4008494 |       8162
  misprediction rate                 |      0.60% |      0.41% |      0.02% |      0.01% |      1.71% |      1.64% |      4.58% |      4.39% |      1.72%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.03 |       0.03 |       5.74 |       5.48 |       1.78
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    1524594 |     430473 |    6367771 |   25709028 |   10963649 |   11208547 |   81601205 |   83252860 |     619347
    num misses                       |        113 |         36 |         32 |         33 |         37 |         39 |         40 |         47 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    4811988 |    3848687 |   56849723 |  229315181 |   45563570 |   46583763 |  345630003 |  357811017 |    2520883
    num misses                       |      11277 |       5342 |        609 |       2254 |       4398 |       4349 |      41269 |      43376 |       3433
    miss rate                        |      0.23% |      0.14% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.14%
    mpki                             |       1.17 |       1.21 |       0.01 |       0.01 |       0.02 |       0.02 |       0.06 |       0.06 |       0.75
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |      11390 |       5378 |        641 |       2287 |       4435 |       4388 |      41309 |      43423 |       3474
    num misses                       |       3171 |       5326 |        622 |       2271 |       3342 |       3372 |       3801 |       3866 |       2044
    miss rate                        |     27.84% |     99.03% |     97.04% |     99.30% |     75.36% |     76.85% |      9.20% |      8.90% |     58.84%
    mpki                             |       0.33 |       1.21 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.44
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
