feature,importance
avg_ipc,0.021725489
ipc_cv,0.08326998
pe_ratio,0.0
local_ratio,0.04081209
remote_ratio,0.0
l2_intensity,0.18947393
l3_intensity,0.028452668
mem_intensity,0.008828375
read_ratio,0.026172547
cpi_l3_ratio,0.013280084
cpi_dram_local_ratio,0.050265726
cpi_dram_remote_ratio,0.0
cpi_branch_ratio,0.016853802
cpi_sync_ratio,0.283329
uop_load_ratio,0.024073971
uop_store_ratio,0.015368114
uop_fp_ratio,0.0
dtlb_miss_rate,0.0
branch_mispredict_rate,0.0222805
avg_dram_latency,0.0
dram_queue_ratio,0.0
l1d_hit_ratio,0.14121026
futex_wake_per_minst,0.0018116133
mem_bw_mbps,0.02446549
operational_intensity,0.0
itlb_miss_rate,0.0
stlb_miss_rate,0.0
load_l1_ratio,0.008326301
