,avg_ipc,ipc_cv,pe_ratio,local_ratio,remote_ratio,l2_intensity,l3_intensity,mem_intensity,read_ratio,cpi_l3_ratio,cpi_dram_local_ratio,cpi_dram_remote_ratio,cpi_branch_ratio,cpi_sync_ratio,uop_load_ratio,uop_store_ratio,uop_fp_ratio,dtlb_miss_rate,branch_mispredict_rate,avg_dram_latency,dram_queue_ratio,l1d_hit_ratio,futex_wake_per_minst,mem_bw_mbps,operational_intensity,itlb_miss_rate,stlb_miss_rate,load_l1_ratio,Packed,Scatter,HPO,EPO
BC,0.7485620198422369,0.5200498884807618,1.0,1.0,0.0,0.0011524361730104573,3.241094215216289e-05,0.000720371052581998,0.9838462275908351,0.0010052036911810222,0.10685747786759642,0.0,0.2933019105935682,0.2994380948805099,0.16347013535241683,0.06096551893757199,1.1179451720559542e-07,0.0005220904221790382,0.04920175496038243,62046750.35615104,0.6358037404701294,0.9776467027990038,2.7102,476.5607377766806,1.5225334957369063e-06,0.00011835271674871678,0.33681008257279443,0.967779901708448,0.0027564,0.002706,0.0027575,0.0093624
BFS,0.7467654201538444,0.5190586249955819,1.0,1.0,0.0,0.001143955738573418,3.212101407553725e-05,0.0007251122330008758,0.9827214856650552,0.0009955834542621535,0.10596185657493225,0.0,0.29434200602477617,0.30049489240164334,0.16340539039316596,0.06080182790427279,1.1162637847414778e-07,0.0004118714483549019,0.04941481911302509,62055714.58698617,0.6429681326914275,0.9776833246851782,2.7079,474.8717459463914,1.5220144165205532e-06,0.00011696770818360787,0.3990306946688207,0.9684550209219804,0.0027671,0.0027088,0.0027614,0.0093813
BT,2.8687453816840103,0.002941274549171889,1.0,1.0,0.0,0.0037285461654186134,7.436445469018198e-07,1.20466841383927e-05,0.9997087265524874,5.66189525275037e-05,0.0019452358597218942,0.0,0.003562619101423031,1.0289422446117034e-05,0.27075995013396825,0.16303308385444834,0.2055684805766517,9.546371680422033e-05,0.007674394951430522,84593373.32556377,18.655514877930162,0.9863654979417399,3.1555,45.058468976195044,198.31872232096032,4.649726429075388e-06,0.03083629318695512,0.8917020033982095,0.024375,0.0243847,0.0243727,0.1000403
CC,0.7442587587842516,0.5219833936417845,1.0,1.0,0.0,0.0011450900316047274,3.316728870997013e-05,0.0007262241624850315,0.9824468596710589,0.0010392441742114364,0.10583302684558409,0.0,0.29585006016473797,0.30140877066589766,0.16350833209822105,0.060879201878556825,1.119014524193066e-07,0.0004566492161727066,0.049830888785035526,62031873.44265505,0.6239138142413398,0.977582670119956,2.7091,472.01962151416893,1.5296881883596848e-06,0.00011185121677768251,0.3691931540342298,0.9685624609059686,0.0027699,0.0027145,0.0027676,0.0094017
CG,1.8758634374589291,0.050660081268047386,1.0,1.0,0.0,0.022443706977920815,0.004561508050013778,5.18677097039917e-05,0.9995145845284851,0.10269158720464237,0.0027851526871177177,0.0,0.029995970550228394,0.0002308106866770236,0.3155664938601399,0.014849721385858756,0.09513729656424404,0.0009850942950072113,0.0038471807455656717,935912207.7037528,699.0465207587416,0.9225947547511028,12.4005,131.0944882900036,24.329646109271522,3.593818412860054e-05,0.015457238823830391,0.8100727776183371,0.0221153,0.0222623,0.0221415,0.067701
FT,2.484182887907335,0.005875341960956702,1.0,1.0,0.0,0.015368732873853496,0.0009149752728379854,0.0019776671773259636,0.5394997446819055,0.010742793738695666,0.23943057128259165,0.0,0.021525513649483272,0.00038465078932951825,0.16599820767220852,0.15202914499869027,0.11673539710449395,0.0008733604838556453,0.006895281056805422,2073528811.6933277,845.1088094013245,0.8917878268510643,0.2291,7524.978159764319,0.7467728651568679,3.10702994609374e-06,0.225095240079062,0.6616909384648676,0.0384413,0.0348576,0.0382064,0.1312703
IS,0.898781939246273,0.007272520497489285,1.0,1.0,0.0,0.0035221730794280106,9.839914913549008e-06,0.00017410125696486575,0.9996025888497786,0.00020594744660334247,0.009352838955386973,0.0,0.008707405433295644,1.7240617694449078e-05,0.23207789322270173,0.09718999734076032,0.0842234399466678,0.0038781041083345634,0.0038191089246455575,418467062.2048049,285.49403158901305,0.9781274463198577,2.9685,220.23805335678685,4.653251370193673,6.044198731563609e-05,0.01692412539754657,0.9851238716146192,0.0051165,0.0061811,0.0051025,0.0197823
MG,1.721769392363261,0.016211620639842102,1.0,1.0,0.0,0.012189972065396468,0.0007503834237603448,0.00021059321231292475,0.9991964057420463,0.027845487567584183,0.02239567257726723,0.0,0.01699278043069542,8.12289128172947e-05,0.3549046669901411,0.07255618618647194,0.03176184154873607,0.00037562405974067136,0.005759095554557962,625837453.642113,451.22858781198585,0.9683194884753243,29.6438,682.754855315498,3.520977654907695,8.177378416891192e-05,0.1602904216699246,0.8900607316186858,0.0025642,0.0025388,0.0025632,0.0094491
PR,0.7467129902053348,0.5244341856080607,1.0,1.0,0.0,0.0011464858104736886,3.1198953362956385e-05,0.0007192116006311033,0.9835106892915348,0.0009200488087270348,0.10623550856412387,0.0,0.2944504821691046,0.30000312736001944,0.16352519822696873,0.06098225163525757,1.1177713517102767e-07,0.00043329312976681515,0.0492482049111746,62033864.54235306,0.6255051408649605,0.9776952523165905,2.7024,475.2052025508654,1.5230529291353932e-06,0.00011908921535319927,0.38834450747808147,0.9682115201330703,0.0027633,0.0027105,0.0027615,0.0093748
SP,2.2576191861496007,0.013304796266215734,1.0,1.0,0.0,0.01679948101768901,1.5185859085883523e-06,2.947086212429938e-05,0.9997111162468223,7.592364513956666e-05,0.003822782248010396,0.0,0.013048107534785329,2.402217969003175e-05,0.2629957622141186,0.12528342968329667,0.15786547630109538,0.0004613502448088339,0.007265586087784218,82649272.10194764,17.101750373193873,0.9390697901518084,19.547,85.79815972697176,74.06878594029936,1.2690617869309431e-05,0.018193279137503803,0.7450716160151729,0.0129069,0.0130324,0.0129114,0.0524459
SSSP,0.8737323113707345,0.43588914863056727,1.0,1.0,0.0,0.0011237360756313206,2.898650619969502e-05,0.0006523418067483203,0.9737861418678352,0.0008898659272597388,0.09995897911764598,0.0,0.2805574273941429,0.2683221358034896,0.16313930586459216,0.057447297764161034,8.88692389127293e-08,0.0008584995895009009,0.042797669235924034,61940694.88287999,0.5510420892249062,0.9817032381011598,2.4981,539.6810016157607,1.255574751898429e-06,0.00012181707439023281,0.206548553487329,0.9625880946957902,0.0029515,0.002906,0.0029427,0.0101927
TC,0.7531124455048057,0.5195140626420329,1.0,1.0,0.0,0.001157542858028808,3.5916932037921336e-05,0.0007143279166808589,0.982240372287383,0.001080375382378371,0.10590601221252299,0.0,0.2934171530762798,0.298894212798748,0.16343100189923115,0.06069500364225899,1.1043004607196737e-07,0.0005427719028770603,0.04909601182121304,62045280.11989364,0.6346286983053682,0.977756786928708,3.1517,477.44997913157977,1.510756586898719e-06,0.00015287979459657186,0.3254950495049505,0.9675437436800739,0.0027727,0.0027127,0.0027637,0.0093953
