                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9695671 |    4394874 |   84090203 |   84314306 |   84061834 |  171982877 |  100179597 |  101120797 |   92211816 |  100415021 |  368676871 |  349829556 |  364783564 |  362000942 |    4553293
  Cycles                             |  247067700 |  247067700 |  325680150 |  247067700 |  325680150 |  325680150 |  325680150 |  247067700 |  247067700 |  325680150 |  325680150 |  247067700 |  247067700 |  247067700 |  325680150
  IPC                                |       0.04 |       0.02 |       0.26 |       0.34 |       0.26 |       0.53 |       0.31 |       0.41 |       0.37 |       0.31 |       1.13 |       1.42 |       1.48 |       1.47 |       0.01
  Time (ns)                          |  112303500 |  112303500 |  112303500 |  112303500 |  112303500 |  112303500 |  112303500 |  112303500 |  112303500 |  112303500 |  112303500 |  112303500 |  112303500 |  112303500 |  112303500
  Idle time (ns)                     |  108581651 |  109953421 |   62689357 |   62488077 |   62802217 |   13709828 |   97139788 |   94180317 |   95509459 |   96888057 |   10225655 |    9697482 |    9050107 |    7526603 |  110766067
  Idle time (%)                      |      96.7% |      97.9% |      55.8% |      55.6% |      55.9% |      12.2% |      86.5% |      83.9% |      85.0% |      86.3% |       9.1% |       8.6% |       8.1% |       6.7% |      98.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279204 |     172930 |    4227096 |    4237535 |    4224594 |    8658325 |     154122 |     152066 |     142500 |     156143 |   44241786 |   41799522 |   43363704 |   43358759 |     465029
  num incorrect                      |       7641 |        729 |        637 |        623 |        619 |       1443 |       2795 |       2736 |       2696 |       2770 |    2053300 |    2018046 |    1965991 |    2061277 |       8215
  misprediction rate                 |      0.59% |      0.42% |      0.02% |      0.01% |      0.01% |      0.02% |      1.78% |      1.77% |      1.86% |      1.74% |      4.44% |      4.61% |      4.34% |      4.54% |      1.74%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.57 |       5.77 |       5.39 |       5.69 |       1.80
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529793 |     430473 |    6352655 |    6367451 |    6347297 |   13010137 |    5639237 |    5687825 |    5191479 |    5655104 |   42038414 |   39928211 |   41649873 |   41243800 |     617486
    num misses                       |        115 |         36 |         35 |         32 |         32 |         28 |         41 |         41 |         39 |         39 |         46 |         46 |         48 |         39 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836067 |    3838163 |   56692398 |   56848737 |   56681259 |  115947977 |   23437472 |   23638354 |   21576181 |   23503094 |  179003514 |  168993746 |  179779487 |  175683465 |    2493347
    num misses                       |      13686 |       5343 |        618 |        598 |        589 |       1154 |       2208 |       2154 |       2202 |       2254 |      23520 |      23840 |      22685 |      21797 |       3917
    miss rate                        |      0.28% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.16%
    mpki                             |       1.41 |       1.22 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.06 |       0.07 |       0.06 |       0.06 |       0.86
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      13801 |       5379 |        653 |        630 |        621 |       1182 |       2249 |       2195 |       2241 |       2293 |      23566 |      23886 |      22733 |      21836 |       3958
    num misses                       |       5778 |       5325 |        627 |        621 |        613 |       1168 |       1783 |       1751 |       1711 |       1789 |       2054 |       1868 |       2095 |       1925 |       2196
    miss rate                        |     41.87% |     99.00% |     96.02% |     98.57% |     98.71% |     98.82% |     79.28% |     79.77% |     76.35% |     78.02% |      8.72% |      7.82% |      9.22% |      8.82% |     55.48%
    mpki                             |       0.60 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.48
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
